seed,decision,tiles,dataset,baseline_ppl,proposal_ppl,delta_ppl,delta_nll,se,windows,forecast_relative_ppl_percent,forecast_lower_relative_ppl_percent,forecast_upper_relative_ppl_percent,observed_relative_ppl_percent
20260909,accepted,69,wikitext,7.555223365464206,7.133067254945854,-0.422156110518352,-0.05749782858223751,0.005639130306989005,145,-9.588225555745916,-13.951138224515061,-5.004101280425003,-5.587605952830929
20260909,accepted,69,c4,9.141327909729387,9.13732733496318,-0.004000574766207521,-0.00043773185461759567,0.0010276267110882185,64,-9.588225555745916,-13.951138224515061,-5.004101280425003,-0.04376360640066993
20260910,accepted,62,wikitext,7.555223365464206,7.156911473232807,-0.3983118922313995,-0.054160631114038925,0.0050100112208091895,145,-4.695098606442226,-6.728510975839043,-2.6173558000890003,-5.272006835061009
20260910,accepted,62,c4,9.141327909729387,9.135966583244514,-0.00536132648487353,-0.0005866652354598045,0.0009261330816588626,64,-4.695098606442226,-6.728510975839043,-2.6173558000890003,-0.05864931810583129
