model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,argmin,22.5155,22.5512,8.365,7.908,56.2378,58.2833,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,4.5234,5.7232,5.4521,0.2224,0.2814,0.2681,0.059,0.0133,marginal,25.3
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,9.7176,12.9185,3.2193,4.1611,26.6654,36.0936,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,3.419,4.8869,4.612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,22.4
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h3,0.9355,2.5278,0.2375,0.6561,3.1634,8.7803,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,0.6635,1.9674,1.9005,0.0326,0.0967,0.0935,0.0641,0.0033,marginal,17.7
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h5,0.0962,0.7415,0.0189,0.164,0.3915,3.1895,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,0.0997,0.9457,0.9516,0.0049,0.0465,0.0468,0.0416,-0.0003,marginal,19.9
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,3.0
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,23.3089,20.6105,8.3161,6.6456,58.1268,56.2256,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,4.6567,7.5663,7.9991,0.2291,0.3722,0.3935,0.1431,-0.0213,spectral2,9.8
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.568,13.2966,3.2899,3.9295,28.7811,39.3768,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,3.5692,7.0137,7.4571,0.1756,0.345,0.3668,0.1694,-0.0218,spectral2,9.1
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h3,1.1291,5.0173,0.2633,1.2115,3.7537,17.4255,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,0.7476,4.4166,4.7679,0.0368,0.2173,0.2345,0.1805,-0.0173,spectral2,7.8
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h5,0.1271,2.0145,0.0245,0.4065,0.5066,8.2611,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,0.1299,2.6014,3.1419,0.0064,0.128,0.1545,0.1216,-0.0266,spectral2,7.6
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.9
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,argmin,21.9349,19.7647,7.9927,6.6246,53.9795,52.8564,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,3.9735,6.5756,6.6672,0.1991,0.3294,0.334,0.1304,-0.0046,spectral2,3.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.9256,13.6337,2.7937,4.2879,24.1821,38.623,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,2.8838,5.9943,6.0784,0.1445,0.3003,0.3045,0.1558,-0.0042,spectral2,2.8
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h3,0.7595,4.2957,0.1789,1.0806,2.5513,14.7705,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,0.493,3.593,3.5975,0.0247,0.18,0.1802,0.1553,-0.0002,spectral2,2.7
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h5,0.0744,1.7334,0.016,0.3714,0.3052,7.312,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,0.0789,2.2585,2.3283,0.004,0.1132,0.1167,0.1092,-0.0035,spectral2,3.0
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,dominance,0.0,0.0,0.0,0.0,0.0,0.0,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.3
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,argmin,25.7998,22.9421,9.4249,7.3956,64.917,62.3352,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,6.0091,8.6746,8.7502,0.2826,0.4079,0.4115,0.1253,-0.0036,spectral2,9.5
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.545,14.8046,4.1255,4.3995,34.3048,43.8934,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,4.8251,8.0639,8.0527,0.2269,0.3792,0.3787,0.1523,0.0005,spectral2,8.8
