model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,10.1838,12.8473,3.4138,4.3957,27.6873,35.8442,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,3.6545,5.1459,4.8761,0.1766,0.2487,0.2357,0.0721,0.013,marginal,23.3
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,argmin,23.7129,21.0632,8.5538,6.8905,59.256,57.4097,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,4.8546,7.6507,8.0219,0.2369,0.3733,0.3915,0.1364,-0.0181,spectral2,10.1
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.9913,13.7881,3.4729,4.1167,29.9622,40.6219,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,3.7678,7.1416,7.525,0.1839,0.3485,0.3672,0.1646,-0.0187,spectral2,9.8
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,argmin,19.8963,19.2036,7.8082,6.6962,49.6582,51.5625,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,4.2537,6.3368,5.7471,0.2149,0.3202,0.2904,0.1053,0.0298,spectral1,3.0
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.6208,13.1069,3.0102,4.2682,23.6206,37.4268,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,3.2189,5.7928,5.2405,0.1626,0.2927,0.2648,0.1301,0.0279,spectral1,3.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,26.6428,23.1028,9.6824,7.4553,66.9922,63.2324,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,6.1729,8.8406,8.82,0.2887,0.4134,0.4124,0.1247,0.001,spectral2,10.3
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.8304,15.3681,4.2116,4.5942,35.199,45.4071,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,4.966,8.1562,8.1243,0.2322,0.3814,0.3799,0.1492,0.0015,spectral2,9.2
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,24.2446,21.3993,9.0856,7.157,60.4937,59.021,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,5.0369,7.9322,7.8704,0.2422,0.3814,0.3785,0.1392,0.003,marginal,32.6
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,10.7156,12.5741,3.5986,3.8122,29.3187,38.964,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,7.2328,7.1798,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,33.0
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,23.9662,23.075,8.9676,8.4259,59.8075,59.7299,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,5.0322,6.2215,5.9721,0.2419,0.2991,0.2871,0.0572,0.012,marginal,23.7
