model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
qwen3-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58851,0.61429,0.60868,0.67465,0.60919,0.67745,12.6421,17.1416,4.1156,5.2525,34.5367,49.5453,heade0,mse,0.5657,0.5556,0.0106,0.0019,0.9875,21.1734,4.7132,7.9874,8.1179,0.2226,0.3772,0.3834,0.1546,-0.0062,spectral2,187.9
qwen3-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.58154,0.60402,0.59933,0.65803,0.60356,0.65521,9.5493,14.6099,3.2044,4.6913,26.1719,41.6748,heade0,mse,0.5511,0.5472,0.0086,0.0019,0.9895,20.4421,3.4093,6.3197,6.1663,0.1668,0.3092,0.3016,0.1424,0.0075,spectral2,18.5
qwen3-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58427,0.60712,0.6058,0.67407,0.60609,0.67576,10.6149,16.1346,3.5358,4.9229,28.9459,45.8435,heade0,mse,0.5564,0.556,0.0183,0.0015,0.9801,20.6984,4.0796,7.5508,7.5573,0.1971,0.3648,0.3651,0.1677,-0.0003,spectral2,131.0
