model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.6.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5648,0.5575,0.0102,0.0004,0.9894
llama-3.1-8b,"layers.6.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5593,0.5583,0.0199,0.0007,0.9794
llama-3.1-8b,"layers.6.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5584,0.5522,0.0113,0.001,0.9877
llama-3.1-8b,"layers.6.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5563,0.5534,0.0418,0.0007,0.9575
llama-3.1-8b,"layers.7.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5561,0.5491,0.0074,0.0017,0.9909
llama-3.1-8b,"layers.7.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5574,0.5506,0.007,0.002,0.991
llama-3.1-8b,"layers.7.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5505,0.5435,0.0045,0.0024,0.9932
llama-3.1-8b,"layers.7.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5655,0.5558,0.0046,0.0007,0.9946
llama-3.1-8b,"layers.7.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5583,0.558,0.0186,0.0008,0.9807
llama-3.1-8b,"layers.7.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5556,0.5545,0.0154,0.0012,0.9834
llama-3.1-8b,"layers.7.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5514,0.5586,0.0625,0.0008,0.9367
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464
llama-3.1-8b,"layers.8.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5516,0.5872,0.0389,0.0042,0.9569
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938
llama-3.1-8b,"layers.8.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5573,0.5559,0.0195,0.0007,0.9799
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416
llama-3.1-8b,"layers.9.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5551,0.5497,0.0092,0.0016,0.9893
llama-3.1-8b,"layers.9.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5528,0.5551,0.0088,0.0042,0.9871
llama-3.1-8b,"layers.9.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5451,0.5458,0.0046,0.0021,0.9934
llama-3.1-8b,"layers.9.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5666,0.5572,0.0046,0.0011,0.9943
llama-3.1-8b,"layers.9.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5569,0.5609,0.0275,0.0008,0.9717
llama-3.1-8b,"layers.9.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5552,0.5559,0.0194,0.0012,0.9794
llama-3.1-8b,"layers.9.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5524,0.552,0.0576,0.0006,0.9418
llama-3.1-8b,"layers.10.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.549,0.5619,0.0368,0.002,0.9611
llama-3.1-8b,"layers.10.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5453,0.595,0.0656,0.0054,0.929
llama-3.1-8b,"layers.10.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5386,0.5447,0.0052,0.0026,0.9922
llama-3.1-8b,"layers.10.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5651,0.556,0.0027,0.0006,0.9967
llama-3.1-8b,"layers.10.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5591,0.5568,0.025,0.0006,0.9744
llama-3.1-8b,"layers.10.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5581,0.5519,0.0103,0.0009,0.9888
llama-3.1-8b,"layers.10.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5547,0.5478,0.0542,0.0005,0.9453
llama-3.1-8b,"layers.11.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5555,0.5467,0.0068,0.0012,0.992
llama-3.1-8b,"layers.11.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5504,0.5595,0.0129,0.0033,0.9838
llama-3.1-8b,"layers.11.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5501,0.5454,0.0044,0.0022,0.9934
llama-3.1-8b,"layers.11.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5616,0.5528,0.0065,0.0024,0.9911
llama-3.1-8b,"layers.11.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5563,0.5583,0.0344,0.0009,0.9646
llama-3.1-8b,"layers.11.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5553,0.5522,0.0147,0.001,0.9843
llama-3.1-8b,"layers.11.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.551,0.5474,0.0569,0.0007,0.9424
llama-3.1-8b,"layers.12.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5568,0.5477,0.0064,0.0017,0.992
