model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share
llama-3.1-8b,"layers.28.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5421,0.5608,0.0152,0.0054,0.9794
llama-3.1-8b,"layers.28.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5649,0.5571,0.0097,0.0005,0.9898
llama-3.1-8b,"layers.28.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5643,0.562,0.0204,0.0006,0.979
llama-3.1-8b,"layers.28.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.565,0.5576,0.0096,0.0006,0.9898
llama-3.1-8b,"layers.28.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.561,0.5427,0.0067,0.0007,0.9925
llama-3.1-8b,"layers.29.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.55,0.582,0.0258,0.0079,0.9663
llama-3.1-8b,"layers.29.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5449,0.5908,0.0371,0.018,0.9449
llama-3.1-8b,"layers.29.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.5441,0.5834,0.03,0.0081,0.9619
llama-3.1-8b,"layers.29.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5657,0.5558,0.0096,0.0006,0.9898
llama-3.1-8b,"layers.29.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5636,0.5604,0.0162,0.0007,0.9831
llama-3.1-8b,"layers.29.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5639,0.5545,0.008,0.0005,0.9914
llama-3.1-8b,"layers.29.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5559,0.5366,0.0046,0.0013,0.9941
llama-3.1-8b,"layers.30.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5472,0.5737,0.0168,0.0134,0.9699
llama-3.1-8b,"layers.30.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5214,0.6729,0.0418,0.0461,0.9122
llama-3.1-8b,"layers.30.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.533,0.5868,0.0223,0.0104,0.9674
llama-3.1-8b,"layers.30.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5652,0.5564,0.0394,0.0005,0.9601
llama-3.1-8b,"layers.30.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5622,0.5569,0.012,0.0009,0.9871
llama-3.1-8b,"layers.30.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5622,0.5535,0.0085,0.0009,0.9906
llama-3.1-8b,"layers.30.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5418,0.5287,0.0079,0.0026,0.9895
llama-3.1-8b,"layers.31.self_attn.q_proj (4096, 4096)",-,-,heade0,mse,0.5503,0.5693,0.0155,0.0198,0.9648
llama-3.1-8b,"layers.31.self_attn.k_proj (1024, 4096)",-,-,heade0,mse,0.5357,0.6205,0.0379,0.0315,0.9306
llama-3.1-8b,"layers.31.self_attn.v_proj (1024, 4096)",-,-,heade0,mse,0.531,0.5854,0.0249,0.0082,0.9669
llama-3.1-8b,"layers.31.self_attn.o_proj (4096, 4096)",-,-,heade0,mse,0.5587,0.5523,0.0054,0.0018,0.9928
llama-3.1-8b,"layers.31.mlp.gate_proj (14336, 4096)",-,-,heade0,mse,0.5584,0.555,0.0236,0.0009,0.9755
llama-3.1-8b,"layers.31.mlp.up_proj (14336, 4096)",-,-,heade0,mse,0.5549,0.5484,0.0221,0.0026,0.9753
llama-3.1-8b,"layers.31.mlp.down_proj (4096, 14336)",-,-,heade0,mse,0.5141,0.5625,0.0261,0.0034,0.9705
