model,tensor,type_block,rule,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,argmin,23.4348,22.972,8.8049,8.4643,58.1517,57.8509,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,4.8094,5.2814,5.2389,0.2324,0.2552,0.2532,0.0228,0.0021,marginal,21.2
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.9913,12.1381,3.4729,3.9896,29.9622,33.2428,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,3.7678,4.4104,4.8199,0.1839,0.2152,0.2352,0.0314,-0.02,spectral1,11.1
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",8x64,argmin,23.7129,23.5612,8.5538,8.3537,59.256,59.5093,heade0,mse,0.5567,0.5578,0.0278,0.0019,0.9704,20.4925,4.8546,5.3899,5.7236,0.2369,0.263,0.2793,0.0261,-0.0163,spectral1,12.9
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.6208,11.2885,3.0102,3.934,23.6206,31.0791,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,3.2189,4.3718,3.5401,0.1626,0.2209,0.1789,0.0583,0.042,marginal,2.3
llama-3.1-8b,"layers.16.self_attn.v_proj (1024, 4096)",8x64,argmin,19.8963,19.8284,7.8082,7.3283,49.6582,50.9644,heade0,mse,0.54,0.5855,0.0238,0.0085,0.9676,19.7914,4.2537,5.1181,4.2645,0.2149,0.2586,0.2155,0.0437,0.0431,marginal,2.1
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.8304,14.4651,4.2116,4.6734,35.199,39.5477,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,4.966,5.6855,5.7219,0.2322,0.2659,0.2676,0.0336,-0.0017,random1,10.8
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,26.6428,25.8337,9.6824,9.1367,66.9922,65.7379,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,6.1729,6.6937,6.7252,0.2887,0.313,0.3145,0.0244,-0.0015,spectral2,12.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,10.7156,11.522,3.5986,3.8688,29.3187,31.5796,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,4.1929,4.1464,0.1852,0.2016,0.1994,0.0164,0.0022,marginal,38.3
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,24.2446,23.95,9.0856,8.8863,60.4937,60.2033,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,5.0369,5.2804,5.2393,0.2422,0.2539,0.2519,0.0117,0.002,marginal,33.3
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,10.6903,12.0964,3.5889,4.0449,29.2419,33.1752,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,4.4594,4.4158,0.1858,0.2144,0.2123,0.0286,0.0021,marginal,20.7
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,23.9662,23.5096,8.9676,8.6459,59.8075,59.4953,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,5.0322,5.4735,5.437,0.2419,0.2631,0.2614,0.0212,0.0018,marginal,19.7
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,10.2652,11.6865,3.466,3.9303,28.0365,32.0068,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,4.4095,4.2692,0.1839,0.2149,0.2081,0.031,0.0068,spectral1,8.5
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,22.5298,22.5533,8.4948,8.2695,56.4148,57.1472,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,4.86,5.3779,5.1802,0.2369,0.2621,0.2525,0.0252,0.0096,spectral1,9.5
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,8.2813,10.8845,2.8063,3.6633,22.6074,30.0049,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,4.1208,3.6215,0.1485,0.2083,0.1831,0.0598,0.0252,marginal,2.4
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,19.0697,19.6693,7.3421,7.1264,47.5708,50.2808,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,3.904,4.8597,4.3062,0.1974,0.2457,0.2177,0.0483,0.028,spectral1,2.5
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,12.7265,14.1889,4.2358,4.6948,34.9976,38.9923,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,4.6686,5.2941,5.3075,0.2191,0.2485,0.2491,0.0294,-0.0006,spectral1,12.6
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,26.4745,25.7906,9.7751,9.3214,66.7389,65.7959,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,5.8963,6.3492,6.3498,0.2767,0.298,0.298,0.0213,-0.0,spectral2,8.8
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,12.1408,12.8813,4.0706,4.3106,33.4429,35.5565,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,4.4466,4.7657,4.7499,0.2095,0.2245,0.2238,0.015,0.0007,marginal,33.6
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,argmin,25.9874,25.6505,9.6547,9.449,65.3538,64.9475,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,5.6794,5.9032,5.8887,0.2675,0.2781,0.2774,0.0105,0.0007,marginal,41.4
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,12.546,13.8865,4.1864,4.6316,34.5442,38.3815,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,4.6236,5.2146,5.222,0.2171,0.2448,0.2452,0.0277,-0.0003,marginal,21.4
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,argmin,26.3082,25.5827,9.7411,9.3302,66.2903,65.3835,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,5.8529,6.2735,6.275,0.2748,0.2945,0.2946,0.0197,-0.0001,marginal,21.6
