model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.0.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.63463,0.64898,0.74412,0.7758,0.7981,3.3439,0.2971,1.0222,1.8188,8.8623,heade0,mse,0.3764,0.7523,0.0978,0.0144,0.8878,13.7664,0.2822,2.3268,2.6213,0.0205,0.169,0.1904,0.1485,-0.0214,spectral2,10.0
llama-3.1-8b,"layers.0.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.6377,0.65207,0.75246,0.77798,0.1377,1.8116,0.0531,0.578,0.354,5.3955,heade0,mse,0.3685,0.7561,0.0155,0.0055,0.979,12.202,0.0424,1.3013,1.1234,0.0035,0.1066,0.0921,0.1032,0.0146,spectral2,3.8
llama-3.1-8b,"layers.0.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58317,0.60238,0.61318,0.67064,9.5095,12.876,3.2609,3.846,25.9644,38.0981,heade0,mse,0.5531,0.5807,0.0629,0.0025,0.9346,20.0858,3.5622,6.9388,6.8439,0.1773,0.3455,0.3407,0.1681,0.0047,marginal,10.5
llama-3.1-8b,"layers.0.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58146,0.60636,0.59884,0.66243,9.51,11.7346,3.1988,3.5572,25.9373,36.4275,heade0,mse,0.5507,0.549,0.0093,0.0012,0.9895,20.4318,3.3509,6.7548,6.6866,0.164,0.3306,0.3273,0.1666,0.0033,marginal,35.2
llama-3.1-8b,"layers.0.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58296,0.5918,0.60384,0.62448,9.7176,12.9185,3.2193,4.1611,26.6654,36.0936,heade0,mse,0.5542,0.5612,0.0545,0.0014,0.9441,20.3357,3.419,4.8869,4.612,0.1681,0.2403,0.2268,0.0722,0.0135,marginal,24.8
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,0.58366,0.60323,0.60652,0.67072,10.568,13.506,3.2899,3.9971,28.7811,39.8315,heade0,mse,0.5549,0.566,0.0518,0.0018,0.9464,20.3292,3.5692,7.0226,7.4571,0.1756,0.3454,0.3668,0.1699,-0.0214,spectral2,10.5
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,0.57895,0.59672,0.59812,0.6525,8.9256,13.805,2.7937,4.3376,24.1821,38.8794,heade0,mse,0.5442,0.5433,0.0057,0.0025,0.9918,19.9596,2.8838,5.9839,6.1621,0.1445,0.2998,0.3087,0.1553,-0.0089,spectral2,3.3
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,0.58825,0.60577,0.6064,0.66167,12.545,15.3198,4.1255,4.5789,34.3048,44.8669,heade0,mse,0.5648,0.5557,0.0055,0.0006,0.9938,21.2664,4.8251,8.0011,8.0527,0.2269,0.3762,0.3787,0.1493,-0.0024,spectral2,9.9
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58414,0.60838,0.60105,0.6632,10.5006,12.3687,3.5332,3.7447,28.7641,38.5114,heade0,mse,0.5568,0.5521,0.0156,0.001,0.9834,20.7298,3.7577,7.1552,7.0743,0.1813,0.3452,0.3413,0.1639,0.0039,marginal,35.8
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,0.58235,0.5923,0.60148,0.62731,10.1838,12.8473,3.4138,4.3957,27.6873,35.8442,heade0,mse,0.5526,0.5546,0.0575,0.0009,0.9416,20.6921,3.6545,5.1459,4.8761,0.1766,0.2487,0.2357,0.0721,0.013,marginal,24.4
