model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,6.1729,8.8268,8.82,0.2887,0.4128,0.4124,0.1241,0.0003,spectral2,9.4
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,4.966,8.1631,8.1243,0.2322,0.3817,0.3799,0.1495,0.0018,spectral2,8.7
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,5.0369,7.9322,7.8704,0.2422,0.3814,0.3785,0.1392,0.003,marginal,31.2
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,7.2328,7.1798,0.1852,0.3478,0.3453,0.1626,0.0025,marginal,31.9
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,5.0322,6.2215,5.9721,0.2419,0.2991,0.2871,0.0572,0.012,marginal,22.8
llama-3.1-8b,"layers.16.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5563,0.5527,0.0182,0.001,0.9808,20.8001,3.8645,5.3233,5.0721,0.1858,0.2559,0.2438,0.0701,0.0121,marginal,21.5
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,4.86,7.5963,7.5242,0.2369,0.3702,0.3667,0.1334,0.0035,marginal,9.3
llama-3.1-8b,"layers.24.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5534,0.565,0.0188,0.0055,0.9757,20.5185,3.7734,7.0226,6.9416,0.1839,0.3423,0.3383,0.1584,0.0039,marginal,9.1
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,3.904,6.1597,5.8172,0.1974,0.3114,0.2941,0.114,0.0173,marginal,2.8
llama-3.1-8b,"layers.24.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.539,0.5716,0.0131,0.0084,0.9785,19.7788,2.9376,5.5922,5.275,0.1485,0.2827,0.2667,0.1342,0.016,marginal,2.7
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,5.8963,8.4516,8.4645,0.2767,0.3966,0.3973,0.1199,-0.0006,spectral2,9.7
llama-3.1-8b,"layers.24.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5669,0.5563,0.0072,0.0008,0.992,21.3077,4.6686,7.8302,7.7683,0.2191,0.3675,0.3646,0.1484,0.0029,spectral2,9.2
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,5.6794,8.5092,8.4762,0.2675,0.4009,0.3993,0.1333,0.0016,spectral2,30.8
llama-3.1-8b,"layers.24.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5646,0.5554,0.0095,0.0005,0.99,21.2276,4.4466,7.7647,7.7574,0.2095,0.3658,0.3654,0.1563,0.0003,spectral2,32.4
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,5.8529,6.8241,6.7872,0.2748,0.3204,0.3187,0.0456,0.0017,marginal,24.5
llama-3.1-8b,"layers.24.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5665,0.5519,0.0049,0.0006,0.9945,21.2993,4.6236,5.8832,5.8384,0.2171,0.2762,0.2741,0.0591,0.0021,marginal,21.2
