model,tensor,type_block,rule,clip,metric,pos_share,rank1_sign_fit,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5557,0.5608,0.1781,0.3476,0.3387,0.1695,0.0089,marginal,33.6
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5557,0.5608,0.1147,0.2848,0.2718,0.1701,0.013,marginal,16.0
llama-3.1-8b,"layers.4.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5557,0.5608,0.018,0.1963,0.1807,0.1783,0.0157,marginal,20.1
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5566,0.5563,0.2386,0.2993,0.2848,0.0607,0.0145,marginal,28.1
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5566,0.5563,0.1824,0.2556,0.2415,0.0732,0.0141,marginal,22.8
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5566,0.5563,0.1236,0.2197,0.1958,0.0961,0.0239,marginal,18.0
llama-3.1-8b,"layers.4.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5566,0.5563,0.0204,0.1358,0.1227,0.1153,0.0131,marginal,15.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5549,0.566,0.2291,0.3729,0.3935,0.1439,-0.0205,spectral2,10.7
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5549,0.566,0.1756,0.3451,0.3668,0.1695,-0.0217,spectral2,9.9
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5549,0.566,0.1147,0.2578,0.2753,0.1431,-0.0176,marginal,5.6
llama-3.1-8b,"layers.8.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5549,0.566,0.0219,0.1959,0.2122,0.174,-0.0163,spectral2,7.4
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5442,0.5433,0.1991,0.3267,0.3337,0.1276,-0.0069,spectral2,3.3
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5442,0.5433,0.1445,0.2989,0.3046,0.1544,-0.0056,spectral2,3.1
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.5442,0.5433,0.0837,0.2112,0.2221,0.1275,-0.0109,spectral2,1.7
llama-3.1-8b,"layers.8.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.5442,0.5433,0.0119,0.1689,0.1702,0.157,-0.0013,spectral2,2.2
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5648,0.5557,0.2826,0.4084,0.4115,0.1258,-0.0031,spectral2,11.5
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5648,0.5557,0.2269,0.3792,0.3787,0.1523,0.0006,spectral2,10.7
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5648,0.5557,0.1871,0.3076,0.3138,0.1204,-0.0062,marginal,6.8
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5648,0.5557,0.0583,0.2552,0.2524,0.1969,0.0028,marginal,7.7
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5568,0.5521,0.2376,0.3796,0.374,0.142,0.0056,marginal,33.3
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5568,0.5521,0.1813,0.3452,0.3413,0.1639,0.0039,marginal,33.4
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5568,0.5521,0.123,0.2824,0.2765,0.1594,0.006,marginal,17.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5568,0.5521,0.0206,0.1954,0.186,0.1748,0.0094,marginal,19.8
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,argmin,heade0,mse,0.5526,0.5546,0.2324,0.292,0.2794,0.0595,0.0126,marginal,25.8
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",8x64,h1.5,heade0,mse,0.5526,0.5546,0.1766,0.2487,0.2357,0.0721,0.013,marginal,26.6
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",32x128,argmin,heade0,mse,0.5526,0.5546,0.1142,0.2086,0.1883,0.0943,0.0203,marginal,19.1
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",32x128,h1.5,heade0,mse,0.5526,0.5546,0.017,0.1289,0.1181,0.1119,0.0108,marginal,19.0
llama-3.1-8b,"layers.12.self_attn.q_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5568,0.5477,0.2432,0.3722,0.3828,0.129,-0.0106,spectral2,11.7
llama-3.1-8b,"layers.12.self_attn.q_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5568,0.5477,0.1886,0.3423,0.3513,0.1537,-0.009,spectral2,10.2
llama-3.1-8b,"layers.12.self_attn.q_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5568,0.5477,0.1296,0.2636,0.2751,0.134,-0.0115,marginal,6.1
llama-3.1-8b,"layers.12.self_attn.q_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5568,0.5477,0.0279,0.2045,0.2091,0.1766,-0.0047,marginal,7.5
llama-3.1-8b,"layers.12.self_attn.v_proj (1024, 4096)",8x64,argmin,heade0,mse,0.5495,0.5441,0.2153,0.3356,0.3398,0.1203,-0.0042,spectral2,3.2
llama-3.1-8b,"layers.12.self_attn.v_proj (1024, 4096)",8x64,h1.5,heade0,mse,0.5495,0.5441,0.1592,0.3067,0.3011,0.1475,0.0056,spectral2,2.8
llama-3.1-8b,"layers.12.self_attn.v_proj (1024, 4096)",32x128,argmin,heade0,mse,0.5495,0.5441,0.1008,0.2308,0.2334,0.13,-0.0027,spectral2,1.8
llama-3.1-8b,"layers.12.self_attn.v_proj (1024, 4096)",32x128,h1.5,heade0,mse,0.5495,0.5441,0.0129,0.1776,0.1781,0.1647,-0.0006,spectral2,1.8
llama-3.1-8b,"layers.12.self_attn.o_proj (4096, 4096)",8x64,argmin,heade0,mse,0.5673,0.5585,0.2874,0.4046,0.4099,0.1172,-0.0053,marginal,10.3
llama-3.1-8b,"layers.12.self_attn.o_proj (4096, 4096)",8x64,h1.5,heade0,mse,0.5673,0.5585,0.2308,0.3741,0.377,0.1433,-0.0029,marginal,9.4
llama-3.1-8b,"layers.12.self_attn.o_proj (4096, 4096)",32x128,argmin,heade0,mse,0.5673,0.5585,0.1982,0.3079,0.3159,0.1097,-0.008,marginal,5.8
llama-3.1-8b,"layers.12.self_attn.o_proj (4096, 4096)",32x128,h1.5,heade0,mse,0.5673,0.5585,0.0655,0.2535,0.2553,0.188,-0.0018,marginal,6.7
llama-3.1-8b,"layers.12.mlp.up_proj (14336, 4096)",8x64,argmin,heade0,mse,0.5532,0.554,0.2259,0.3724,0.3658,0.1465,0.0067,marginal,31.3
llama-3.1-8b,"layers.12.mlp.up_proj (14336, 4096)",8x64,h1.5,heade0,mse,0.5532,0.554,0.1709,0.3391,0.3337,0.1682,0.0054,marginal,33.8
llama-3.1-8b,"layers.12.mlp.up_proj (14336, 4096)",32x128,argmin,heade0,mse,0.5532,0.554,0.1051,0.2728,0.2641,0.1677,0.0087,marginal,16.1
llama-3.1-8b,"layers.12.mlp.up_proj (14336, 4096)",32x128,h1.5,heade0,mse,0.5532,0.554,0.0153,0.184,0.1721,0.1687,0.0119,marginal,20.4
