model,tensor,type_block,rule,purity_count_id,purity_count_se,purity_mass_id,purity_mass_se,purity_count_ct,purity_mass_ct,harmed_id,harmed_se,harmmass_id,harmmass_se,elected_id,elected_se,clip,metric,pos_share,rank1_sign_fit,row_share,col_share,resid_share,ceiling_pct_of_mse,identity_mse_cut,search_mse_cut,control_mse_cut,identity,search,control,lift_vs_identity,lift_vs_control,init,seconds
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h2,0.58882,0.59093,0.60564,0.61448,0.59123,0.61481,6.0121,7.6929,1.8019,2.2705,17.7795,22.5494,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,3.2435,4.1227,4.1539,0.1517,0.1928,0.1942,0.0411,-0.0015,spectral2,9.1
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,h3,0.58882,0.59041,0.60564,0.61169,0.58992,0.61231,1.495,2.5321,0.3764,0.6489,4.9896,8.3405,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,1.2993,2.1008,2.0939,0.0608,0.0982,0.0979,0.0375,0.0003,spectral1,7.1
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,v0.6,0.58882,0.59168,0.60564,0.61321,0.59204,0.61439,9.9916,10.9484,3.8761,4.0989,30.0446,32.9285,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,3.8006,4.5346,4.5384,0.1777,0.212,0.2122,0.0343,-0.0002,spectral2,10.0
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,v0.7,0.58882,0.59038,0.60564,0.60978,0.59043,0.61118,1.495,2.1364,0.5922,0.8147,5.7617,8.2397,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,1.1183,1.7577,1.793,0.0523,0.0822,0.0838,0.0299,-0.0016,identity,6.1
llama-3.1-8b,"layers.16.self_attn.o_proj (4096, 4096)",8x64,v0.75,0.58882,0.58962,0.60564,0.60895,0.58961,0.61027,0.1991,0.4882,0.0779,0.1828,0.9735,2.3926,heade0,mse,0.5668,0.5588,0.0085,0.0003,0.9911,21.3845,0.3221,0.7788,0.8016,0.0151,0.0364,0.0375,0.0214,-0.0011,identity,7.5
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h1.5,0.58409,0.58548,0.60033,0.60528,0.58509,0.60397,10.7156,11.522,3.5986,3.8688,29.3187,31.5796,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.8509,4.1929,4.1293,0.1852,0.2016,0.1986,0.0164,0.0031,marginal,25.0
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h2,0.58409,0.5854,0.60033,0.60414,0.58477,0.60294,4.6405,5.3644,1.4179,1.6365,13.7878,15.8962,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,2.3054,2.6732,2.6269,0.1109,0.1285,0.1263,0.0177,0.0022,marginal,29.6
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,h3,0.58409,0.58494,0.60033,0.60296,0.58474,0.60181,1.0561,1.4363,0.2763,0.3757,3.5679,4.8723,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.7622,1.0551,1.035,0.0367,0.0507,0.0498,0.0141,0.001,marginal,28.9
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,v0.6,0.58409,0.58604,0.60033,0.60443,0.58572,0.60298,8.648,9.241,3.4874,3.6593,25.9129,27.7021,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,3.0375,3.3772,3.326,0.1461,0.1624,0.1599,0.0163,0.0025,marginal,30.9
llama-3.1-8b,"layers.16.mlp.up_proj (14336, 4096)",8x64,v0.7,0.58409,0.58506,0.60033,0.60228,0.58483,0.60138,1.2119,1.5531,0.499,0.6255,4.6596,5.9841,heade0,mse,0.5569,0.5491,0.0078,0.001,0.9912,20.7959,0.7911,1.0637,1.0303,0.038,0.0512,0.0495,0.0131,0.0016,spectral1,28.1
