accuracy_difference,ci95_high,ci95_low,clusters,comparator,corpus,dlogppl,effect,family,json_pointer,method,model,p_adjusted,p_raw,raw_ppl_comparator,raw_ppl_method,record_type,scope,selector,source_path,source_sha256,stream_label,windows
,-0.2435215930048402,-0.26844003749612333,53,p20_global_change_norm,wiki,-0.25522720987600933,-0.25522720987600933,,/scopes/global/deterministic_contrasts/10,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,14.412641742735097,11.16605653908429,paired_dlogppl,global,change_norm,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:wiki:n16_k2_reference:p20_global_change_norm,146
,-0.22634015708498148,-0.250658445846642,53,p20_global_activation_weighted,wiki,-0.2379314832332903,-0.2379314832332903,,/scopes/global/deterministic_contrasts/11,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,14.165507970682937,11.16605653908429,paired_dlogppl,global,activation_weighted,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:wiki:n16_k2_reference:p20_global_activation_weighted,146
,-0.11290258102391716,-0.12230061562889337,231,p20_global_weight_mse,c4,-0.11767029159974053,-0.11767029159974053,,/scopes/global/deterministic_contrasts/12,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,17.283634698888008,15.364963054070836,paired_dlogppl,global,weight_mse,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:c4:n16_k2_reference:p20_global_weight_mse,256
,-0.11670462471313857,-0.1264750322628331,231,p20_global_magnitude,c4,-0.12148344739016138,-0.12148344739016138,,/scopes/global/deterministic_contrasts/13,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,17.349665703865636,15.364963054070836,paired_dlogppl,global,magnitude,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:c4:n16_k2_reference:p20_global_magnitude,256
,-0.1132587838822558,-0.12311575034280857,231,p20_global_change_norm,c4,-0.11828843619538588,-0.11828843619538588,,/scopes/global/deterministic_contrasts/14,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,17.294321787012816,15.364963054070836,paired_dlogppl,global,change_norm,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:c4:n16_k2_reference:p20_global_change_norm,256
,-0.1135343572300873,-0.12357025391614548,231,p20_global_activation_weighted,c4,-0.11856654592704212,-0.11856654592704212,,/scopes/global/deterministic_contrasts/15,n16_k2_reference,qwen4b,0.0047995200479952005,0.00019998000199980003,17.299132175081006,15.364963054070836,paired_dlogppl,global,activation_weighted,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:qwen4b:c4:n16_k2_reference:p20_global_activation_weighted,256
,-0.003819992154764914,-0.005740296232681818,57,p20_global_weight_mse,wiki,-0.004776831877849716,-0.004776831877849716,,/scopes/global/deterministic_contrasts/16,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,5.523108424681896,5.496788377561922,paired_dlogppl,global,weight_mse,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:wiki:n16_k2_reference:p20_global_weight_mse,163
,-0.003289879406994825,-0.005033699040633707,57,p20_global_magnitude,wiki,-0.004156007915690295,-0.004156007915690295,,/scopes/global/deterministic_contrasts/17,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,5.5196806107708465,5.496788377561922,paired_dlogppl,global,magnitude,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:wiki:n16_k2_reference:p20_global_magnitude,163
,-0.002994602760286106,-0.004706166837109453,57,p20_global_change_norm,wiki,-0.0038611686355800694,-0.0038611686355800694,,/scopes/global/deterministic_contrasts/18,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,5.51805343200302,5.496788377561922,paired_dlogppl,global,change_norm,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:wiki:n16_k2_reference:p20_global_change_norm,163
,-0.0034170592059771703,-0.005009310661980715,57,p20_global_activation_weighted,wiki,-0.004237959370162841,-0.004237959370162841,,/scopes/global/deterministic_contrasts/19,n16_k2_reference,mistral7b,0.0047995200479952005,0.00019998000199980003,5.52013297516082,5.496788377561922,paired_dlogppl,global,activation_weighted,runs/P20_analysis_attempt1/analysis_p20/P20_DENSITY_CONTROL_ANALYSIS.json,317bcc26ef06c21f37fb42fbfb1f874edce3edcc4c3e27ac691a0595067641b0,P20:global:deterministic:mistral7b:wiki:n16_k2_reference:p20_global_activation_weighted,163
