model,domain,bin,endpoint,tiles,sum_ce_mean,mean_combined_election_margin,estimate,ci95_low,ci95_high,relative_ppl_change,p_two_sided_plus_one
mistral7b,c4,4,group_only_vs_baseline,466,-0.0011746251390595554,6.829950399748195e-07,-0.00024238625742530227,-0.0009197791085810906,0.0004206479646533771,-0.0002423568842496739,0.47735226477352266
mistral7b,c4,5,full_context_marginal,466,-0.0009030924949791294,4.266324189309441e-07,-0.0005202932317694878,-0.0013331266937883193,0.00021337080767411208,-0.0005201579027172561,0.1852814718528147
mistral7b,c4,5,group_only_vs_baseline,466,-0.0009030924949791294,4.266324189309441e-07,-0.000476949632865089,-0.001132769827010087,0.00015822936609155523,-0.0004768359104696141,0.1498850114988501
mistral7b,c4,6,full_context_marginal,466,-0.0007725682317188843,2.511053809689029e-07,-0.0001101807687094122,-0.0008042880357281011,0.0005386507278992104,-0.00011017469903143814,0.7469253074692531
mistral7b,c4,6,group_only_vs_baseline,466,-0.0007725682317188843,2.511053809689029e-07,-0.00044453111101146615,-0.0011105436181348943,0.0002096721233849688,-0.0004444323216959879,0.18288171182881713
mistral7b,c4,7,full_context_marginal,466,-0.0006749675726590906,1.3615567261731885e-07,0.0005279527733523824,-0.00016402748937638148,0.0012565236592710506,0.0005280921649474747,0.14288571142885712
mistral7b,c4,7,group_only_vs_baseline,466,-0.0006749675726590906,1.3615567261731885e-07,-0.00031045755664897,-0.0013532378790195878,0.0005414877954768181,-0.00031040936968852745,0.5184481551844815
mistral7b,c4,8,full_context_marginal,466,-0.0005521314722660288,4.6414558673579863e-08,0.00019688969917379073,-0.0007736703362425596,0.0010645366922624074,0.00019690908322276342,0.6785321467853215
mistral7b,c4,8,group_only_vs_baseline,466,-0.0005521314722660288,4.6414558673579863e-08,0.0001465218642507076,-0.0006306010887374369,0.0008381111335806735,0.00014653259910334983,0.6836316368363163
mistral7b,wiki,1,full_context_marginal,466,-0.008277371520010537,8.96986234367757e-06,-0.0015282046468023853,-0.002323620617576565,-0.0007366512519457824,-0.0015270375366845386,0.0004999500049995
