model,layer,e0m3_share_mse,e0m3_share_hess,tile_elect_mse,tile_elect_hess,flip_share,maxrms_e0m3,maxrms_e2m1,kurt_e0m3,kurt_e2m1,imp_e0m3,imp_e2m1,rho_gain_maxrms,rho_gain_kurt,rho_hessgain_imp,rho_hess_mse,rho_hess_sqnr,rho_hess_rel,rho_hess_norm,agree_mse,agree_sqnr,agree_rel,tile_elect_sqnr,tile_elect_rel
qwen3-8b,layers.0.self_attn.q_proj,0.5657,0.5494,0.3454,0.2831,0.0989,1.9715,2.3028,2.3872,3.0201,0.000131,0.000139,-0.5769,-0.4599,-0.0346,0.8776,0.8368,0.8374,0.8414,0.9011,0.9011,0.9011,0.424,0.0841
qwen3-8b,layers.0.self_attn.v_proj,0.5511,0.521,0.2617,0.1539,0.0986,1.982,2.3237,2.4108,3.0769,0.000125,0.000145,-0.5998,-0.4802,-0.1068,0.8837,0.8599,0.8595,0.8644,0.9014,0.9014,0.9014,0.3466,0.0586
qwen3-8b,layers.0.self_attn.o_proj,0.5564,0.5046,0.2895,0.1462,0.1618,1.9785,2.318,2.402,3.0655,0.000286,0.000344,-0.5889,-0.4709,-0.0649,0.7209,0.7087,0.7105,0.7054,0.8382,0.8382,0.8382,0.3678,0.0688
qwen3-8b,layers.0.mlp.up_proj,0.5599,0.5429,0.311,0.2549,0.1156,1.9774,2.3113,2.4021,3.0468,0.004306,0.004428,-0.5924,-0.4749,-0.032,0.8705,0.8497,0.8508,0.8539,0.8844,0.8844,0.8844,0.393,0.0718
qwen3-8b,layers.0.mlp.down_proj,0.5499,0.4604,0.2527,0.0894,0.2617,1.9817,2.3252,2.4085,3.0873,0.000837,0.000892,-0.5998,-0.4769,-0.0797,0.5886,0.592,0.5891,0.586,0.7383,0.7383,0.7383,0.3402,0.0553
qwen3-8b,layers.8.self_attn.q_proj,0.5526,0.5052,0.2633,0.1639,0.1888,1.9784,2.3271,2.4012,3.0948,0.022612,0.030583,-0.5919,-0.4773,-0.0794,0.7246,0.7123,0.7147,0.7088,0.8112,0.8112,0.8112,0.3534,0.0608
qwen3-8b,layers.8.self_attn.v_proj,0.5473,0.4672,0.2451,0.0577,0.1919,1.9861,2.3217,2.4216,3.0761,0.02107,0.031367,-0.5951,-0.4764,-0.1748,0.7367,0.7314,0.73,0.7273,0.8081,0.8081,0.8081,0.3231,0.0559
qwen3-8b,layers.8.self_attn.o_proj,0.5628,0.535,0.333,0.2227,0.1154,1.972,2.3022,2.3881,3.0153,0.008082,0.008297,-0.5842,-0.4667,0.0028,0.8571,0.8369,0.8373,0.8397,0.8846,0.8846,0.8846,0.4112,0.0779
qwen3-8b,layers.8.mlp.up_proj,0.5549,0.5372,0.2762,0.2017,0.0707,1.9793,2.3185,2.4048,3.0657,0.047281,0.052099,-0.5969,-0.4744,-0.0574,0.9411,0.9142,0.9148,0.9225,0.9293,0.9293,0.9293,0.3683,0.0641
qwen3-8b,layers.8.mlp.down_proj,0.5517,0.5213,0.2613,0.1752,0.1387,1.9793,2.3283,2.4039,3.0994,0.010113,0.010305,-0.6008,-0.486,-0.0234,0.8485,0.8338,0.8311,0.8335,0.8613,0.8613,0.8613,0.3486,0.0585
qwen3-8b,layers.16.self_attn.q_proj,0.5482,0.4946,0.2555,0.1426,0.1847,1.9826,2.3329,2.4121,3.1094,0.079112,0.105673,-0.5892,-0.4757,-0.0906,0.7213,0.7068,0.7044,0.7047,0.8153,0.8153,0.8153,0.3365,0.0571
qwen3-8b,layers.16.self_attn.v_proj,0.5336,0.475,0.1917,0.0725,0.1778,1.9983,2.3469,2.4495,3.1509,0.074707,0.108667,-0.602,-0.4854,-0.1758,0.7474,0.7331,0.7337,0.7324,0.8222,0.8222,0.8222,0.2657,0.0385
qwen3-8b,layers.16.self_attn.o_proj,0.5612,0.5099,0.3314,0.1517,0.1617,1.9748,2.3085,2.3935,3.0316,0.033874,0.035946,-0.5818,-0.4591,-0.0354,0.7663,0.759,0.7593,0.7563,0.8383,0.8383,0.8383,0.4012,0.073
qwen3-8b,layers.16.mlp.up_proj,0.5439,0.5236,0.2235,0.1526,0.0769,1.9865,2.335,2.4198,3.1179,0.063008,0.073665,-0.6015,-0.4858,-0.0796,0.9145,0.8873,0.8891,0.8953,0.9231,0.9231,0.9231,0.3113,0.0467
qwen3-8b,layers.16.mlp.down_proj,0.5352,0.5044,0.1841,0.1138,0.1305,1.9903,2.3492,2.4273,3.1586,0.779566,1.115899,-0.6094,-0.493,-0.0445,0.8588,0.8379,0.8382,0.8402,0.8695,0.8696,0.8695,0.2655,0.0368
qwen3-8b,layers.24.self_attn.q_proj,0.5302,0.414,0.1931,0.0444,0.2444,1.9975,2.3494,2.4475,3.1593,0.860987,1.114608,-0.5921,-0.4788,-0.2071,0.5937,0.5834,0.5869,0.5852,0.7556,0.7556,0.7556,0.2545,0.0367
qwen3-8b,layers.24.self_attn.v_proj,0.484,0.4031,0.089,0.0184,0.225,2.0178,2.4511,2.4979,3.5294,0.794887,1.154644,-0.6584,-0.5603,-0.264,0.614,0.6105,0.6103,0.6079,0.775,0.775,0.775,0.1349,0.0165
qwen3-8b,layers.24.self_attn.o_proj,0.5617,0.5121,0.3347,0.1794,0.1542,1.9755,2.3081,2.3968,3.0336,0.159117,0.173664,-0.5799,-0.4585,-0.0301,0.7614,0.7622,0.763,0.7608,0.8458,0.8458,0.8458,0.407,0.0776
qwen3-8b,layers.24.mlp.up_proj,0.5527,0.5065,0.2728,0.1211,0.1498,1.9797,2.3205,2.4051,3.0726,0.154117,0.179571,-0.5975,-0.4774,-0.1032,0.7991,0.7831,0.7843,0.7834,0.8502,0.8502,0.8502,0.356,0.0598
qwen3-8b,layers.24.mlp.down_proj,0.5461,0.4618,0.2352,0.0614,0.2295,1.9835,2.3334,2.4126,3.1158,0.106156,0.112376,-0.6025,-0.4835,-0.0848,0.6704,0.6709,0.6737,0.669,0.7705,0.7705,0.7705,0.3189,0.0495
qwen3-8b,layers.32.self_attn.q_proj,0.5387,0.4389,0.2322,0.0617,0.2442,1.9885,2.3472,2.4269,3.1674,6.624187,9.0253,-0.5956,-0.4828,-0.209,0.5606,0.5641,0.5599,0.5542,0.7558,0.7558,0.7558,0.2964,0.044
qwen3-8b,layers.32.self_attn.v_proj,0.5093,0.4035,0.1467,0.0232,0.2368,2.0053,2.401,2.4682,3.3539,6.10681,9.232806,-0.634,-0.5289,-0.2933,0.5757,0.5749,0.5757,0.5709,0.7632,0.7632,0.7632,0.1965,0.0292
qwen3-8b,layers.32.self_attn.o_proj,0.5619,0.5151,0.3299,0.1842,0.1544,1.9739,2.3061,2.3936,3.0246,0.578025,0.612682,-0.5855,-0.4626,-0.02,0.7798,0.77,0.7707,0.7688,0.8456,0.8456,0.8456,0.4066,0.0787
qwen3-8b,layers.32.mlp.up_proj,0.5625,0.5312,0.3259,0.1939,0.1196,1.9746,2.3075,2.3939,3.0326,0.407479,0.444803,-0.59,-0.466,-0.0686,0.8401,0.8212,0.82,0.8253,0.8804,0.8804,0.8804,0.4088,0.0772
qwen3-8b,layers.32.mlp.down_proj,0.5618,0.4673,0.3254,0.097,0.2536,1.974,2.3084,2.3926,3.0365,0.855337,0.914573,-0.5882,-0.4693,-0.0762,0.6123,0.6112,0.6117,0.6046,0.7464,0.7464,0.7464,0.4039,0.0764
