model,tensor,rotate_size,identity_norot_pct,identity_rotmin_pct,identity_allrot_pct,identity_rotated_share,spread_norot_pct,spread_rotmin_pct,spread_allrot_pct,spread_rotated_share,sorted_norot_pct,sorted_rotmin_pct,sorted_allrot_pct,sorted_rotated_share,random_norot_pct,random_rotmin_pct,random_allrot_pct,random_rotated_share
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",64,0.0,0.0,-0.2168,0.0,0.0814,0.0814,-0.0322,0.0,0.0081,0.0081,0.0437,0.0,0.3203,0.3203,-0.0324,0.0
llama-3.1-8b,"layers.8.self_attn.o_proj (4096, 4096)",128,0.0,0.0,-0.371,0.0,0.0192,0.0192,-0.0873,0.0,0.0081,0.0081,-0.066,0.0,0.3074,0.3074,-0.0893,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",16,0.0,0.0,-0.1052,0.0,-0.04,-0.04,-0.1338,0.0,-0.0806,-0.0806,-0.1055,0.0,-0.0192,-0.0192,-0.1466,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",64,0.0,0.0,-0.1227,0.0,-0.0557,-0.0557,-0.144,0.0,-0.0806,-0.0806,-0.1168,0.0,-0.0361,-0.0361,-0.129,0.0
llama-3.1-8b,"layers.8.mlp.up_proj (14336, 4096)",128,0.0,0.0,-0.1084,0.0,-0.0654,-0.0654,-0.1034,0.0,-0.0806,-0.0806,-0.1362,0.0,-0.0271,-0.0271,-0.1153,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",16,0.0,0.0,-0.1316,0.0,0.009,0.009,-0.1619,0.0,-0.1222,-0.1222,-0.1577,0.0,-0.0347,-0.0347,-0.1228,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",64,0.0,0.0,-0.1275,0.0,-0.08,-0.08,-0.0954,0.0,-0.1222,-0.1222,-0.1109,0.0,-0.0036,-0.0036,-0.1076,0.0
llama-3.1-8b,"layers.8.mlp.down_proj (4096, 14336)",128,0.0,0.0,-0.1208,0.0,-0.078,-0.078,-0.0933,0.0,-0.1222,-0.1222,-0.0877,0.0,0.029,0.029,-0.1184,0.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",16,0.0,0.0,-0.3176,0.0,-0.0814,-0.0814,-0.2594,0.0,-0.0961,-0.0961,-0.2243,0.0,-0.0253,-0.0253,-0.3124,0.0
llama-3.1-8b,"layers.16.self_attn.q_proj (4096, 4096)",64,0.0,0.0,-0.2775,0.0,-0.0707,-0.0707,-0.2036,0.0,-0.0961,-0.0961,-0.2479,0.0,-0.0225,-0.0225,-0.274,0.0
