experiment,model,corpus,policy,required,evaluation,map_sha256
anchor,llama8b,c4,four_over_six,True,verified_reuse,non-map-baseline
anchor,llama8b,c4,corruption_p000_anchor,True,verified_reuse,a52e4017abf553633ac672abbdc12c75893cfa7f54ef42ed15d69dfb9103af55
boundary,llama8b,wiki,boundary_part01_rejected_band01,True,new_gpu_full,6153f88edd867b970fa913962e1060bf8b2be280d80589d0a1c60f5fa7329fa0
boundary,llama8b,wiki,boundary_part01_rejected_band02,True,new_gpu_full,9438baf5f653524e2f9396ac2093e4817ec77c39ce0b80efeab24adf6e1a5c18
boundary,llama8b,wiki,boundary_part01_rejected_band03,True,new_gpu_full,e84e015ec33b8d8bb5b4f6cb25207de0a7602057bbeedf1b831e28ffba986370
boundary,llama8b,wiki,boundary_part01_rejected_band04,True,new_gpu_full,85dcd26f77765555147b2ac286a5f666aa9978b76042f64c933b4da011b292f2
boundary,llama8b,wiki,boundary_part01_selected_band01,True,new_gpu_full,a4b962e231183903f22a2a24581be06af1882b895eac9dbdf49356837ac6a5b9
boundary,llama8b,wiki,boundary_part01_selected_band02,True,new_gpu_full,3dc2eae40e6e6cef17969350c0eda0f90fe1705db28ee6936296491a2cdc918f
boundary,llama8b,wiki,boundary_part01_selected_band03,True,new_gpu_full,6ec0a3e5934baefb0629a9d602935bcb11d04f360e3736c3730c24613e25c394
boundary,llama8b,wiki,boundary_part01_selected_band04,True,new_gpu_full,a84380b5eb83de7b17158b053e30cf4194fbd94a54060f27512dcb3edd5644ee
boundary,llama8b,wiki,boundary_part02_rejected_band01,True,new_gpu_full,878b74529af12c71387ed99c328bbc698b69d62f879f776ef1a19abedcaa1bb5
boundary,llama8b,wiki,boundary_part02_rejected_band02,True,new_gpu_full,1cdd9dc1f295a69d1d1f541fad7118a83b13ebce64d08c8d54775ca026476596
boundary,llama8b,wiki,boundary_part02_rejected_band03,True,new_gpu_full,7a05c4c00d87ffd3e5ab5101f2370eb328bfff26ed7d500f45d685463324fa73
boundary,llama8b,wiki,boundary_part02_rejected_band04,True,new_gpu_full,c6eeffbf4feaba49356729034872530031be6c6de0cf31f7ad01453586dc3f75
boundary,llama8b,wiki,boundary_part02_selected_band01,True,new_gpu_full,1cef1c100e4a92296f1ff8ff5ee08defbddb38869b6ee62ff3c0bfdc81834f6e
boundary,llama8b,wiki,boundary_part02_selected_band02,True,new_gpu_full,d5486fe6da1b501fce2a8e3d318faf7111c96dda325f2df19b80796f0decb44f
boundary,llama8b,wiki,boundary_part02_selected_band03,True,new_gpu_full,23d52481ec798fbcdcfb9b3d1e4cc00fb228949ee05ee63e1d6aae918a9c96d1
boundary,llama8b,wiki,boundary_part02_selected_band04,True,new_gpu_full,e1ad304d3983df359565bc3710b3b156b1d992ea948220a4154352350acc503f
