key,group,fine,shape,signal,nmse_nvfp4,nmse_nvfp4_4over6,nmse_mixfp4,nmse_mix_4_6,e0m3_mixfp4,e0m3_mix_4_6
model.decoder.layers.14.self_attn.o_proj.weight,attention,o_proj,2816x4096,13732.677734375,0.00900436017157126,0.0075550800877554405,0.00756277966251091,0.007243754818748221,0.9074041247367859,0.4854847490787506
model.decoder.layers.14.self_attn.q_proj.weight,attention,q_proj,4096x2816,12584.462890625,0.008929488605896563,0.0075492210010251045,0.007799611017041879,0.007355852912623996,0.8251065611839294,0.349609375
model.decoder.layers.14.self_attn.v_proj.weight,attention,v_proj,2048x2816,7035.720703125,0.00892301351654462,0.007559206733725417,0.0080064516573698,0.007434585993447499,0.7470703125,0.23881392180919647
model.decoder.layers.15.experts.down_proj,moe_experts,expert_down,128x2816x704,496549.1799316406,0.008988349335907468,0.007551978578600323,0.00764535895724849,0.007301234498648183,0.9008566737174988,0.4431495170574635
model.decoder.layers.15.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,500704.79638671875,0.00897784854405127,0.007552505269194896,0.007704955716569553,0.007325369029342831,0.8788577900268137,0.4150198783027008
model.decoder.layers.15.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,6799.79052734375,0.008858578873961465,0.007542240568898212,0.008093066724036693,0.00744638381050772,0.6807851195335388,0.21117424964904785
model.decoder.layers.15.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,6229.3486328125,0.008888169726595048,0.007561587923800721,0.008134646596143538,0.007464090477943291,0.6394628286361694,0.19197659194469452
model.decoder.layers.15.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7427.45068359375,0.008906171081080601,0.0075959983787508584,0.008201718804143124,0.00751517864638401,0.6477273106575012,0.18362604081630707
model.decoder.layers.15.self_attn.k_proj.weight,attention,k_proj,2048x2816,5402.13427734375,0.008903858324766931,0.007538291377621204,0.00792038291705273,0.007389110905059497,0.7741477489471436,0.3117009997367859
model.decoder.layers.15.self_attn.o_proj.weight,attention,o_proj,2816x4096,10944.3037109375,0.009042405970544929,0.007564801124380932,0.007582431061633357,0.0072679189762047125,0.9137961864471436,0.47660690546035767
model.decoder.layers.15.self_attn.q_proj.weight,attention,q_proj,4096x2816,11645.2412109375,0.008925238393298228,0.007549557659684788,0.007858836883645219,0.0073660124462388114,0.7859552502632141,0.3390003740787506
model.decoder.layers.15.self_attn.v_proj.weight,attention,v_proj,2048x2816,5906.6064453125,0.008973331532571198,0.0075633501522725565,0.007820581987859529,0.007375097443689327,0.843394935131073,0.3466796875
model.decoder.layers.16.experts.down_proj,moe_experts,expert_down,128x2816x704,496487.66357421875,0.008979484138860223,0.007550821404220685,0.007663274155474098,0.007307041747435662,0.8927374850027263,0.4338277829810977
model.decoder.layers.16.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,479463.3356933594,0.008974240092137917,0.007551418206249674,0.007713736113450957,0.00732592109807923,0.8711350751109421,0.4110087070148438
model.decoder.layers.16.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,7107.6376953125,0.008809380904172874,0.007530998775318859,0.008154170568432862,0.0074556895496852875,0.618026852607727,0.17174586653709412
model.decoder.layers.16.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,5392.8779296875,0.008871781162972287,0.007550776700978414,0.008072315553535868,0.007443053804324896,0.6905992031097412,0.21866391599178314
model.decoder.layers.16.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,6421.1611328125,0.008860181114833476,0.007551967645734342,0.008157716389626037,0.007470603341475459,0.6377410292625427,0.18250688910484314
model.decoder.layers.16.self_attn.k_proj.weight,attention,k_proj,2048x2816,5113.5791015625,0.008954035813421869,0.007538452538335716,0.007814641747615925,0.007351719897188953,0.8347834348678589,0.36869674921035767
model.decoder.layers.16.self_attn.o_proj.weight,attention,o_proj,2816x4096,10562.91015625,0.009004891405844078,0.007556569664454598,0.007594866473842546,0.0072701922748007195,0.9090909361839294,0.46444424986839294
model.decoder.layers.16.self_attn.q_proj.weight,attention,q_proj,4096x2816,11389.2060546875,0.008944906342070904,0.0075427435844417174,0.007772434513018469,0.007342061783330862,0.8510298728942871,0.3803267180919647
model.decoder.layers.16.self_attn.v_proj.weight,attention,v_proj,2048x2816,5958.0576171875,0.008870780137922139,0.007558658617793885,0.008112449600896632,0.007460910986893898,0.6356534361839294,0.1845703125
model.decoder.layers.17.experts.down_proj,moe_experts,expert_down,128x2816x704,502379.30712890625,0.008981858011237864,0.007554869477005798,0.007664976600306414,0.007308392258673776,0.8919727797619998,0.4337006687419489
model.decoder.layers.17.experts.gate_up_proj,moe_experts,expert_gate_up,128x1408x2816,454477.9870605469,0.008969682536875407,0.007550279878278964,0.00772946025411242,0.007330689250263344,0.863610097207129,0.40119566733483225
model.decoder.layers.17.mlp.down_proj.weight,dense_mlp,down_proj,2816x2112,6189.86962890625,0.0088383719671988,0.007539573307350018,0.008155336960403343,0.007465958576233392,0.6344696879386902,0.1686466932296753
model.decoder.layers.17.mlp.gate_proj.weight,dense_mlp,gate_proj,2112x2816,5627.4580078125,0.008891687434501278,0.007567793563559118,0.008100674990416515,0.007457544431105366,0.6621900796890259,0.20928031206130981
model.decoder.layers.17.mlp.up_proj.weight,dense_mlp,up_proj,2112x2816,7075.662109375,0.008845337093356711,0.0075593367080129155,0.008221536914990288,0.007497263508701565,0.6099345684051514,0.15108470618724823
model.decoder.layers.17.self_attn.k_proj.weight,attention,k_proj,1024x2816,3074.389892578125,0.008763651807106355,0.00752448593534461,0.008207044650309732,0.007466598359240007,0.580078125,0.13600853085517883
model.decoder.layers.17.self_attn.o_proj.weight,attention,o_proj,2816x8192,24062.158203125,0.00898115879791312,0.0075684503939788105,0.007852408364161017,0.007392031238268401,0.8386452794075012,0.33334073424339294
model.decoder.layers.17.self_attn.q_proj.weight,attention,q_proj,8192x2816,27169.47265625,0.008904636030212562,0.007543833954734353,0.007920312148428879,0.007390869066737499,0.7856889367103577,0.29671964049339294
