model,module,U,draws,all_empty,source_sha256,interpretation,K_mean,K_sample_sd,K_min,K_max,K_range,density_mean,density_sample_sd,density_min,density_max,density_range,density_ratio_denominator_zero
mistral7b,model.layers.3.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,2.6,0.8944271909999159,2.0,4.0,2.0,4.534040178571428e-05,1.5597572387693846e-05,3.487723214285714e-05,6.975446428571428e-05,3.487723214285714e-05,False
mistral7b,model.layers.3.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,1.0,0.0,2.0,2.0,1.743861607142857e-05,1.743861607142857e-05,0.0,3.487723214285714e-05,3.487723214285714e-05,False
mistral7b,model.layers.3.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,3.0,1.5811388300841898,1.0,5.0,4.0,5.2315848214285705e-05,2.757287301346592e-05,1.743861607142857e-05,8.719308035714286e-05,6.975446428571428e-05,False
mistral7b,model.layers.3.self_attn.k_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.2,0.4472135954999579,1.0,2.0,1.0,0.00029296875,0.00010918300671385692,0.000244140625,0.00048828125,0.000244140625,False
mistral7b,model.layers.3.self_attn.o_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.4,1.6733200530681511,0.0,4.0,4.0,8.544921875e-05,0.0001021313508952729,0.0,0.000244140625,0.000244140625,True
mistral7b,model.layers.3.self_attn.q_proj,16384,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.4,1.140175425099138,0.0,3.0,3.0,8.544921875e-05,6.959078522333606e-05,0.0,0.00018310546875,0.00018310546875,False
mistral7b,model.layers.3.self_attn.v_proj,4096,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,1.0,1.0,0.0,2.0,2.0,0.000244140625,0.000244140625,0.0,0.00048828125,0.00048828125,False
mistral7b,model.layers.30.mlp.down_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,613.2,78.97911116238268,516.0,703.0,187.0,0.010693359375000001,0.0013772863972234704,0.008998325892857142,0.012259347098214286,0.003261021205357144,False
mistral7b,model.layers.30.mlp.gate_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,184.0,10.124228365658293,172.0,196.0,24.0,0.0032087053571428575,0.00017655253148818168,0.0029994419642857145,0.00341796875,0.00041852678571428553,False
mistral7b,model.layers.30.mlp.up_proj,57344,5,False,49322fc37a509fcc19c4c2dcba27f571d7e08725b0f688e5e6e2da549664253f,Across-draw descriptive variation; count and density share fixed U; not identity stability or independent evidence,212.4,10.784247771634329,201.0,228.0,27.0,0.003703962053571429,0.00018806235650869007,0.003505161830357143,0.003976004464285714,0.00047084263392857106,False
