model,N,intervention,actual_ce,actual_kl,pred_ce_sum,pred_kl_sum,size,source,source_sha256
qwen4b,16,simultaneous selected prefix,-0.006867592688649893,-0.002222411643294372,-0.011906279619321114,-0.0053980189353394215,16,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.011524992994964123,-0.003108855719284335,-0.018676930583935603,-0.006886855354476473,32,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.017253148136660457,-0.0027134819425133298,-0.026660814483012052,-0.008593941911557434,64,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.02591584750916809,-0.003340990428282609,-0.036743553242708116,-0.010994151083071169,128,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.03321390284691006,-0.005823169962163914,-0.049145142714092926,-0.01374971090858132,256,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.04509283823426813,-0.003871415965666572,-0.06521181342358733,-0.016942320436389418,512,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
qwen4b,16,simultaneous selected prefix,-0.07705201429780573,-0.0046665526131246015,-0.11601683374700564,-0.03082814844706043,4077,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_qwen4b_attempt1/fidelity/fidelity_report.json,211dafbd55f3d33408a4de9c85fce51a0efc33849936504925be9bc11bbef2b3
mistral7b,16,simultaneous selected prefix,-0.0002558717969805002,-0.0003954847112610827,-0.0003218674886751316,-0.00035488133751895856,1,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.0015061062294989824,-0.0009726246075424632,-0.0006777276951790423,-0.000635092400255638,2,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.0022848891094326973,-0.0015207442908620568,-0.0013433782223045698,-0.0014030829306566905,4,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.0035829354310408235,-0.0026014998449320884,-0.002147415069800984,-0.0023101812611433375,8,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.0033485147869214416,-0.002938029476456693,-0.003095437791719613,-0.0033634780996441432,16,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.004325598711147904,-0.0038136743260372284,-0.004111382597770552,-0.004501374364102653,32,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.0046537178568542,-0.004291085808028535,-0.005090783452448289,-0.005430913149350194,64,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.006556559004820883,-0.005760489992281674,-0.006393334214512492,-0.006651854483691183,128,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.008216422866098583,-0.007255645888163832,-0.007907126479451548,-0.008080504429166593,256,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.009456614032387733,-0.008476833790719365,-0.009709024827865148,-0.009858155222065948,512,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
mistral7b,16,simultaneous selected prefix,-0.013456075917929411,-0.011048070862935203,-0.017017519121062454,-0.016047882357619458,4179,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V43_fidelity_mistral7b_attempt1/fidelity/fidelity_report.json,129ad7a5e54dbe371b7411970b39ee2e28ea06618892632dec7b66c62a0d920e
