model,module,frequency,tiles,U
llama8b,model.layers.4.mlp.gate_proj,2,0,57344
llama8b,model.layers.4.mlp.gate_proj,3,0,57344
llama8b,model.layers.4.mlp.gate_proj,4,0,57344
llama8b,model.layers.4.mlp.gate_proj,5,0,57344
llama8b,model.layers.4.mlp.up_proj,0,57296,57344
llama8b,model.layers.4.mlp.up_proj,1,46,57344
llama8b,model.layers.4.mlp.up_proj,2,0,57344
llama8b,model.layers.4.mlp.up_proj,3,1,57344
llama8b,model.layers.4.mlp.up_proj,4,1,57344
llama8b,model.layers.4.mlp.up_proj,5,0,57344
llama8b,model.layers.4.self_attn.k_proj,0,4080,4096
llama8b,model.layers.4.self_attn.k_proj,1,14,4096
llama8b,model.layers.4.self_attn.k_proj,2,2,4096
llama8b,model.layers.4.self_attn.k_proj,3,0,4096
llama8b,model.layers.4.self_attn.k_proj,4,0,4096
llama8b,model.layers.4.self_attn.k_proj,5,0,4096
llama8b,model.layers.4.self_attn.o_proj,0,16363,16384
llama8b,model.layers.4.self_attn.o_proj,1,19,16384
llama8b,model.layers.4.self_attn.o_proj,2,1,16384
llama8b,model.layers.4.self_attn.o_proj,3,1,16384
llama8b,model.layers.4.self_attn.o_proj,4,0,16384
llama8b,model.layers.4.self_attn.o_proj,5,0,16384
llama8b,model.layers.4.self_attn.q_proj,0,16301,16384
llama8b,model.layers.4.self_attn.q_proj,1,58,16384
llama8b,model.layers.4.self_attn.q_proj,2,18,16384
llama8b,model.layers.4.self_attn.q_proj,3,7,16384
llama8b,model.layers.4.self_attn.q_proj,4,0,16384
llama8b,model.layers.4.self_attn.q_proj,5,0,16384
llama8b,model.layers.4.self_attn.v_proj,0,4083,4096
llama8b,model.layers.4.self_attn.v_proj,1,13,4096
llama8b,model.layers.4.self_attn.v_proj,2,0,4096
llama8b,model.layers.4.self_attn.v_proj,3,0,4096
llama8b,model.layers.4.self_attn.v_proj,4,0,4096
llama8b,model.layers.4.self_attn.v_proj,5,0,4096
llama8b,model.layers.5.mlp.down_proj,0,57298,57344
llama8b,model.layers.5.mlp.down_proj,1,44,57344
llama8b,model.layers.5.mlp.down_proj,2,1,57344
llama8b,model.layers.5.mlp.down_proj,3,0,57344
llama8b,model.layers.5.mlp.down_proj,4,1,57344
llama8b,model.layers.5.mlp.down_proj,5,0,57344
llama8b,model.layers.5.mlp.gate_proj,0,57304,57344
llama8b,model.layers.5.mlp.gate_proj,1,38,57344
llama8b,model.layers.5.mlp.gate_proj,2,1,57344
llama8b,model.layers.5.mlp.gate_proj,3,1,57344
llama8b,model.layers.5.mlp.gate_proj,4,0,57344
llama8b,model.layers.5.mlp.gate_proj,5,0,57344
llama8b,model.layers.5.mlp.up_proj,0,57295,57344
llama8b,model.layers.5.mlp.up_proj,1,48,57344
llama8b,model.layers.5.mlp.up_proj,2,0,57344
llama8b,model.layers.5.mlp.up_proj,3,0,57344
llama8b,model.layers.5.mlp.up_proj,4,1,57344
llama8b,model.layers.5.mlp.up_proj,5,0,57344
llama8b,model.layers.5.self_attn.k_proj,0,4092,4096
llama8b,model.layers.5.self_attn.k_proj,1,4,4096
llama8b,model.layers.5.self_attn.k_proj,2,0,4096
llama8b,model.layers.5.self_attn.k_proj,3,0,4096
llama8b,model.layers.5.self_attn.k_proj,4,0,4096
llama8b,model.layers.5.self_attn.k_proj,5,0,4096
llama8b,model.layers.5.self_attn.o_proj,0,16369,16384
llama8b,model.layers.5.self_attn.o_proj,1,14,16384
llama8b,model.layers.5.self_attn.o_proj,2,0,16384
llama8b,model.layers.5.self_attn.o_proj,3,1,16384
llama8b,model.layers.5.self_attn.o_proj,4,0,16384
llama8b,model.layers.5.self_attn.o_proj,5,0,16384
llama8b,model.layers.5.self_attn.q_proj,0,16354,16384
llama8b,model.layers.5.self_attn.q_proj,1,30,16384
llama8b,model.layers.5.self_attn.q_proj,2,0,16384
llama8b,model.layers.5.self_attn.q_proj,3,0,16384
llama8b,model.layers.5.self_attn.q_proj,4,0,16384
llama8b,model.layers.5.self_attn.q_proj,5,0,16384
llama8b,model.layers.5.self_attn.v_proj,0,4086,4096
llama8b,model.layers.5.self_attn.v_proj,1,8,4096
llama8b,model.layers.5.self_attn.v_proj,2,1,4096
llama8b,model.layers.5.self_attn.v_proj,3,0,4096
llama8b,model.layers.5.self_attn.v_proj,4,1,4096
llama8b,model.layers.5.self_attn.v_proj,5,0,4096
llama8b,model.layers.6.mlp.down_proj,0,57302,57344
llama8b,model.layers.6.mlp.down_proj,1,39,57344
llama8b,model.layers.6.mlp.down_proj,2,3,57344
llama8b,model.layers.6.mlp.down_proj,3,0,57344
llama8b,model.layers.6.mlp.down_proj,4,0,57344
llama8b,model.layers.6.mlp.down_proj,5,0,57344
llama8b,model.layers.6.mlp.gate_proj,0,57295,57344
llama8b,model.layers.6.mlp.gate_proj,1,49,57344
llama8b,model.layers.6.mlp.gate_proj,2,0,57344
llama8b,model.layers.6.mlp.gate_proj,3,0,57344
llama8b,model.layers.6.mlp.gate_proj,4,0,57344
llama8b,model.layers.6.mlp.gate_proj,5,0,57344
llama8b,model.layers.6.mlp.up_proj,0,57281,57344
llama8b,model.layers.6.mlp.up_proj,1,58,57344
llama8b,model.layers.6.mlp.up_proj,2,4,57344
llama8b,model.layers.6.mlp.up_proj,3,1,57344
llama8b,model.layers.6.mlp.up_proj,4,0,57344
llama8b,model.layers.6.mlp.up_proj,5,0,57344
llama8b,model.layers.6.self_attn.k_proj,0,4086,4096
llama8b,model.layers.6.self_attn.k_proj,1,10,4096
llama8b,model.layers.6.self_attn.k_proj,2,0,4096
llama8b,model.layers.6.self_attn.k_proj,3,0,4096
llama8b,model.layers.6.self_attn.k_proj,4,0,4096
llama8b,model.layers.6.self_attn.k_proj,5,0,4096
llama8b,model.layers.6.self_attn.o_proj,0,16353,16384
llama8b,model.layers.6.self_attn.o_proj,1,28,16384
llama8b,model.layers.6.self_attn.o_proj,2,2,16384
llama8b,model.layers.6.self_attn.o_proj,3,1,16384
llama8b,model.layers.6.self_attn.o_proj,4,0,16384
llama8b,model.layers.6.self_attn.o_proj,5,0,16384
llama8b,model.layers.6.self_attn.q_proj,0,16358,16384
llama8b,model.layers.6.self_attn.q_proj,1,26,16384
llama8b,model.layers.6.self_attn.q_proj,2,0,16384
llama8b,model.layers.6.self_attn.q_proj,3,0,16384
llama8b,model.layers.6.self_attn.q_proj,4,0,16384
llama8b,model.layers.6.self_attn.q_proj,5,0,16384
llama8b,model.layers.6.self_attn.v_proj,0,4082,4096
llama8b,model.layers.6.self_attn.v_proj,1,14,4096
llama8b,model.layers.6.self_attn.v_proj,2,0,4096
llama8b,model.layers.6.self_attn.v_proj,3,0,4096
llama8b,model.layers.6.self_attn.v_proj,4,0,4096
llama8b,model.layers.6.self_attn.v_proj,5,0,4096
llama8b,model.layers.7.mlp.down_proj,0,57306,57344
llama8b,model.layers.7.mlp.down_proj,1,37,57344
llama8b,model.layers.7.mlp.down_proj,2,1,57344
llama8b,model.layers.7.mlp.down_proj,3,0,57344
llama8b,model.layers.7.mlp.down_proj,4,0,57344
llama8b,model.layers.7.mlp.down_proj,5,0,57344
llama8b,model.layers.7.mlp.gate_proj,0,57304,57344
llama8b,model.layers.7.mlp.gate_proj,1,38,57344
llama8b,model.layers.7.mlp.gate_proj,2,2,57344
llama8b,model.layers.7.mlp.gate_proj,3,0,57344
llama8b,model.layers.7.mlp.gate_proj,4,0,57344
llama8b,model.layers.7.mlp.gate_proj,5,0,57344
llama8b,model.layers.7.mlp.up_proj,0,57302,57344
llama8b,model.layers.7.mlp.up_proj,1,41,57344
llama8b,model.layers.7.mlp.up_proj,2,1,57344
llama8b,model.layers.7.mlp.up_proj,3,0,57344
llama8b,model.layers.7.mlp.up_proj,4,0,57344
llama8b,model.layers.7.mlp.up_proj,5,0,57344
llama8b,model.layers.7.self_attn.k_proj,0,4082,4096
llama8b,model.layers.7.self_attn.k_proj,1,13,4096
llama8b,model.layers.7.self_attn.k_proj,2,1,4096
llama8b,model.layers.7.self_attn.k_proj,3,0,4096
llama8b,model.layers.7.self_attn.k_proj,4,0,4096
llama8b,model.layers.7.self_attn.k_proj,5,0,4096
llama8b,model.layers.7.self_attn.o_proj,0,16364,16384
llama8b,model.layers.7.self_attn.o_proj,1,20,16384
llama8b,model.layers.7.self_attn.o_proj,2,0,16384
llama8b,model.layers.7.self_attn.o_proj,3,0,16384
llama8b,model.layers.7.self_attn.o_proj,4,0,16384
llama8b,model.layers.7.self_attn.o_proj,5,0,16384
llama8b,model.layers.7.self_attn.q_proj,0,16370,16384
llama8b,model.layers.7.self_attn.q_proj,1,14,16384
llama8b,model.layers.7.self_attn.q_proj,2,0,16384
llama8b,model.layers.7.self_attn.q_proj,3,0,16384
llama8b,model.layers.7.self_attn.q_proj,4,0,16384
llama8b,model.layers.7.self_attn.q_proj,5,0,16384
llama8b,model.layers.7.self_attn.v_proj,0,4078,4096
llama8b,model.layers.7.self_attn.v_proj,1,13,4096
llama8b,model.layers.7.self_attn.v_proj,2,4,4096
llama8b,model.layers.7.self_attn.v_proj,3,0,4096
llama8b,model.layers.7.self_attn.v_proj,4,1,4096
llama8b,model.layers.7.self_attn.v_proj,5,0,4096
llama8b,model.layers.8.mlp.down_proj,0,57313,57344
llama8b,model.layers.8.mlp.down_proj,1,30,57344
llama8b,model.layers.8.mlp.down_proj,2,1,57344
llama8b,model.layers.8.mlp.down_proj,3,0,57344
llama8b,model.layers.8.mlp.down_proj,4,0,57344
llama8b,model.layers.8.mlp.down_proj,5,0,57344
llama8b,model.layers.8.mlp.gate_proj,0,57308,57344
llama8b,model.layers.8.mlp.gate_proj,1,36,57344
llama8b,model.layers.8.mlp.gate_proj,2,0,57344
llama8b,model.layers.8.mlp.gate_proj,3,0,57344
llama8b,model.layers.8.mlp.gate_proj,4,0,57344
llama8b,model.layers.8.mlp.gate_proj,5,0,57344
llama8b,model.layers.8.mlp.up_proj,0,57294,57344
llama8b,model.layers.8.mlp.up_proj,1,50,57344
llama8b,model.layers.8.mlp.up_proj,2,0,57344
llama8b,model.layers.8.mlp.up_proj,3,0,57344
llama8b,model.layers.8.mlp.up_proj,4,0,57344
llama8b,model.layers.8.mlp.up_proj,5,0,57344
llama8b,model.layers.8.self_attn.k_proj,0,4094,4096
llama8b,model.layers.8.self_attn.k_proj,1,2,4096
llama8b,model.layers.8.self_attn.k_proj,2,0,4096
llama8b,model.layers.8.self_attn.k_proj,3,0,4096
llama8b,model.layers.8.self_attn.k_proj,4,0,4096
llama8b,model.layers.8.self_attn.k_proj,5,0,4096
llama8b,model.layers.8.self_attn.o_proj,0,16351,16384
llama8b,model.layers.8.self_attn.o_proj,1,29,16384
llama8b,model.layers.8.self_attn.o_proj,2,2,16384
llama8b,model.layers.8.self_attn.o_proj,3,1,16384
llama8b,model.layers.8.self_attn.o_proj,4,1,16384
llama8b,model.layers.8.self_attn.o_proj,5,0,16384
llama8b,model.layers.8.self_attn.q_proj,0,16378,16384
llama8b,model.layers.8.self_attn.q_proj,1,6,16384
llama8b,model.layers.8.self_attn.q_proj,2,0,16384
llama8b,model.layers.8.self_attn.q_proj,3,0,16384
llama8b,model.layers.8.self_attn.q_proj,4,0,16384
llama8b,model.layers.8.self_attn.q_proj,5,0,16384
llama8b,model.layers.8.self_attn.v_proj,0,4092,4096
llama8b,model.layers.8.self_attn.v_proj,1,4,4096
llama8b,model.layers.8.self_attn.v_proj,2,0,4096
llama8b,model.layers.8.self_attn.v_proj,3,0,4096
llama8b,model.layers.8.self_attn.v_proj,4,0,4096
llama8b,model.layers.8.self_attn.v_proj,5,0,4096
llama8b,model.layers.9.mlp.down_proj,0,57313,57344
llama8b,model.layers.9.mlp.down_proj,1,30,57344
llama8b,model.layers.9.mlp.down_proj,2,1,57344
llama8b,model.layers.9.mlp.down_proj,3,0,57344
llama8b,model.layers.9.mlp.down_proj,4,0,57344
llama8b,model.layers.9.mlp.down_proj,5,0,57344
llama8b,model.layers.9.mlp.gate_proj,0,57311,57344
llama8b,model.layers.9.mlp.gate_proj,1,33,57344
llama8b,model.layers.9.mlp.gate_proj,2,0,57344
llama8b,model.layers.9.mlp.gate_proj,3,0,57344
llama8b,model.layers.9.mlp.gate_proj,4,0,57344
llama8b,model.layers.9.mlp.gate_proj,5,0,57344
llama8b,model.layers.9.mlp.up_proj,0,57305,57344
llama8b,model.layers.9.mlp.up_proj,1,39,57344
llama8b,model.layers.9.mlp.up_proj,2,0,57344
llama8b,model.layers.9.mlp.up_proj,3,0,57344
llama8b,model.layers.9.mlp.up_proj,4,0,57344
llama8b,model.layers.9.mlp.up_proj,5,0,57344
llama8b,model.layers.9.self_attn.k_proj,0,4090,4096
llama8b,model.layers.9.self_attn.k_proj,1,6,4096
llama8b,model.layers.9.self_attn.k_proj,2,0,4096
llama8b,model.layers.9.self_attn.k_proj,3,0,4096
llama8b,model.layers.9.self_attn.k_proj,4,0,4096
llama8b,model.layers.9.self_attn.k_proj,5,0,4096
llama8b,model.layers.9.self_attn.o_proj,0,16365,16384
llama8b,model.layers.9.self_attn.o_proj,1,18,16384
llama8b,model.layers.9.self_attn.o_proj,2,0,16384
llama8b,model.layers.9.self_attn.o_proj,3,0,16384
llama8b,model.layers.9.self_attn.o_proj,4,0,16384
llama8b,model.layers.9.self_attn.o_proj,5,1,16384
llama8b,model.layers.9.self_attn.q_proj,0,16378,16384
llama8b,model.layers.9.self_attn.q_proj,1,6,16384
llama8b,model.layers.9.self_attn.q_proj,2,0,16384
llama8b,model.layers.9.self_attn.q_proj,3,0,16384
llama8b,model.layers.9.self_attn.q_proj,4,0,16384
llama8b,model.layers.9.self_attn.q_proj,5,0,16384
llama8b,model.layers.9.self_attn.v_proj,0,4089,4096
llama8b,model.layers.9.self_attn.v_proj,1,7,4096
llama8b,model.layers.9.self_attn.v_proj,2,0,4096
llama8b,model.layers.9.self_attn.v_proj,3,0,4096
llama8b,model.layers.9.self_attn.v_proj,4,0,4096
llama8b,model.layers.9.self_attn.v_proj,5,0,4096
qwen4b,model.layers.0.mlp.down_proj,0,24278,24320
qwen4b,model.layers.0.mlp.down_proj,1,39,24320
qwen4b,model.layers.0.mlp.down_proj,2,2,24320
qwen4b,model.layers.0.mlp.down_proj,3,0,24320
qwen4b,model.layers.0.mlp.down_proj,4,1,24320
qwen4b,model.layers.0.mlp.down_proj,5,0,24320
qwen4b,model.layers.0.mlp.gate_proj,0,24312,24320
qwen4b,model.layers.0.mlp.gate_proj,1,8,24320
qwen4b,model.layers.0.mlp.gate_proj,2,0,24320
qwen4b,model.layers.0.mlp.gate_proj,3,0,24320
qwen4b,model.layers.0.mlp.gate_proj,4,0,24320
qwen4b,model.layers.0.mlp.gate_proj,5,0,24320
qwen4b,model.layers.0.mlp.up_proj,0,24309,24320
qwen4b,model.layers.0.mlp.up_proj,1,11,24320
qwen4b,model.layers.0.mlp.up_proj,2,0,24320
qwen4b,model.layers.0.mlp.up_proj,3,0,24320
qwen4b,model.layers.0.mlp.up_proj,4,0,24320
qwen4b,model.layers.0.mlp.up_proj,5,0,24320
qwen4b,model.layers.0.self_attn.k_proj,0,2559,2560
qwen4b,model.layers.0.self_attn.k_proj,1,1,2560
qwen4b,model.layers.0.self_attn.k_proj,2,0,2560
qwen4b,model.layers.0.self_attn.k_proj,3,0,2560
qwen4b,model.layers.0.self_attn.k_proj,4,0,2560
qwen4b,model.layers.0.self_attn.k_proj,5,0,2560
qwen4b,model.layers.0.self_attn.o_proj,0,10177,10240
qwen4b,model.layers.0.self_attn.o_proj,1,53,10240
qwen4b,model.layers.0.self_attn.o_proj,2,8,10240
qwen4b,model.layers.0.self_attn.o_proj,3,2,10240
qwen4b,model.layers.0.self_attn.o_proj,4,0,10240
qwen4b,model.layers.0.self_attn.o_proj,5,0,10240
qwen4b,model.layers.0.self_attn.q_proj,0,10237,10240
qwen4b,model.layers.0.self_attn.q_proj,1,3,10240
qwen4b,model.layers.0.self_attn.q_proj,2,0,10240
qwen4b,model.layers.0.self_attn.q_proj,3,0,10240
qwen4b,model.layers.0.self_attn.q_proj,4,0,10240
qwen4b,model.layers.0.self_attn.q_proj,5,0,10240
qwen4b,model.layers.0.self_attn.v_proj,0,2557,2560
qwen4b,model.layers.0.self_attn.v_proj,1,2,2560
qwen4b,model.layers.0.self_attn.v_proj,2,0,2560
qwen4b,model.layers.0.self_attn.v_proj,3,1,2560
qwen4b,model.layers.0.self_attn.v_proj,4,0,2560
qwen4b,model.layers.0.self_attn.v_proj,5,0,2560
qwen4b,model.layers.1.mlp.down_proj,0,23393,24320
qwen4b,model.layers.1.mlp.down_proj,1,564,24320
qwen4b,model.layers.1.mlp.down_proj,2,197,24320
qwen4b,model.layers.1.mlp.down_proj,3,101,24320
qwen4b,model.layers.1.mlp.down_proj,4,58,24320
qwen4b,model.layers.1.mlp.down_proj,5,7,24320
qwen4b,model.layers.1.mlp.gate_proj,0,24268,24320
qwen4b,model.layers.1.mlp.gate_proj,1,34,24320
qwen4b,model.layers.1.mlp.gate_proj,2,6,24320
qwen4b,model.layers.1.mlp.gate_proj,3,6,24320
qwen4b,model.layers.1.mlp.gate_proj,4,5,24320
qwen4b,model.layers.1.mlp.gate_proj,5,1,24320
qwen4b,model.layers.1.mlp.up_proj,0,24243,24320
qwen4b,model.layers.1.mlp.up_proj,1,58,24320
qwen4b,model.layers.1.mlp.up_proj,2,9,24320
qwen4b,model.layers.1.mlp.up_proj,3,5,24320
qwen4b,model.layers.1.mlp.up_proj,4,4,24320
qwen4b,model.layers.1.mlp.up_proj,5,1,24320
qwen4b,model.layers.1.self_attn.k_proj,0,2550,2560
qwen4b,model.layers.1.self_attn.k_proj,1,8,2560
qwen4b,model.layers.1.self_attn.k_proj,2,2,2560
qwen4b,model.layers.1.self_attn.k_proj,3,0,2560
qwen4b,model.layers.1.self_attn.k_proj,4,0,2560
qwen4b,model.layers.1.self_attn.k_proj,5,0,2560
qwen4b,model.layers.1.self_attn.o_proj,0,10126,10240
qwen4b,model.layers.1.self_attn.o_proj,1,91,10240
qwen4b,model.layers.1.self_attn.o_proj,2,15,10240
qwen4b,model.layers.1.self_attn.o_proj,3,6,10240
qwen4b,model.layers.1.self_attn.o_proj,4,2,10240
qwen4b,model.layers.1.self_attn.o_proj,5,0,10240
qwen4b,model.layers.1.self_attn.q_proj,0,10194,10240
qwen4b,model.layers.1.self_attn.q_proj,1,27,10240
qwen4b,model.layers.1.self_attn.q_proj,2,8,10240
qwen4b,model.layers.1.self_attn.q_proj,3,7,10240
qwen4b,model.layers.1.self_attn.q_proj,4,4,10240
qwen4b,model.layers.1.self_attn.q_proj,5,0,10240
qwen4b,model.layers.1.self_attn.v_proj,0,2509,2560
qwen4b,model.layers.1.self_attn.v_proj,1,36,2560
qwen4b,model.layers.1.self_attn.v_proj,2,11,2560
qwen4b,model.layers.1.self_attn.v_proj,3,2,2560
qwen4b,model.layers.1.self_attn.v_proj,4,2,2560
qwen4b,model.layers.1.self_attn.v_proj,5,0,2560
qwen4b,model.layers.10.mlp.down_proj,0,24296,24320
qwen4b,model.layers.10.mlp.down_proj,1,21,24320
qwen4b,model.layers.10.mlp.down_proj,2,2,24320
qwen4b,model.layers.10.mlp.down_proj,3,1,24320
qwen4b,model.layers.10.mlp.down_proj,4,0,24320
qwen4b,model.layers.10.mlp.down_proj,5,0,24320
qwen4b,model.layers.10.mlp.gate_proj,0,24291,24320
qwen4b,model.layers.10.mlp.gate_proj,1,23,24320
qwen4b,model.layers.10.mlp.gate_proj,2,0,24320
qwen4b,model.layers.10.mlp.gate_proj,3,1,24320
qwen4b,model.layers.10.mlp.gate_proj,4,4,24320
qwen4b,model.layers.10.mlp.gate_proj,5,1,24320
qwen4b,model.layers.10.mlp.up_proj,0,24282,24320
qwen4b,model.layers.10.mlp.up_proj,1,30,24320
qwen4b,model.layers.10.mlp.up_proj,2,0,24320
qwen4b,model.layers.10.mlp.up_proj,3,2,24320
qwen4b,model.layers.10.mlp.up_proj,4,2,24320
qwen4b,model.layers.10.mlp.up_proj,5,4,24320
qwen4b,model.layers.10.self_attn.k_proj,0,2555,2560
qwen4b,model.layers.10.self_attn.k_proj,1,3,2560
qwen4b,model.layers.10.self_attn.k_proj,2,2,2560
qwen4b,model.layers.10.self_attn.k_proj,3,0,2560
qwen4b,model.layers.10.self_attn.k_proj,4,0,2560
qwen4b,model.layers.10.self_attn.k_proj,5,0,2560
qwen4b,model.layers.10.self_attn.o_proj,0,10178,10240
qwen4b,model.layers.10.self_attn.o_proj,1,56,10240
qwen4b,model.layers.10.self_attn.o_proj,2,4,10240
qwen4b,model.layers.10.self_attn.o_proj,3,2,10240
qwen4b,model.layers.10.self_attn.o_proj,4,0,10240
qwen4b,model.layers.10.self_attn.o_proj,5,0,10240
qwen4b,model.layers.10.self_attn.q_proj,0,10222,10240
qwen4b,model.layers.10.self_attn.q_proj,1,13,10240
qwen4b,model.layers.10.self_attn.q_proj,2,4,10240
qwen4b,model.layers.10.self_attn.q_proj,3,0,10240
qwen4b,model.layers.10.self_attn.q_proj,4,1,10240
qwen4b,model.layers.10.self_attn.q_proj,5,0,10240
qwen4b,model.layers.10.self_attn.v_proj,0,2548,2560
qwen4b,model.layers.10.self_attn.v_proj,1,9,2560
qwen4b,model.layers.10.self_attn.v_proj,2,2,2560
qwen4b,model.layers.10.self_attn.v_proj,3,1,2560
qwen4b,model.layers.10.self_attn.v_proj,4,0,2560
qwen4b,model.layers.10.self_attn.v_proj,5,0,2560
qwen4b,model.layers.11.mlp.down_proj,0,24296,24320
qwen4b,model.layers.11.mlp.down_proj,1,23,24320
qwen4b,model.layers.11.mlp.down_proj,2,1,24320
qwen4b,model.layers.11.mlp.down_proj,3,0,24320
qwen4b,model.layers.11.mlp.down_proj,4,0,24320
qwen4b,model.layers.11.mlp.down_proj,5,0,24320
qwen4b,model.layers.11.mlp.gate_proj,0,24304,24320
qwen4b,model.layers.11.mlp.gate_proj,1,14,24320
qwen4b,model.layers.11.mlp.gate_proj,2,1,24320
qwen4b,model.layers.11.mlp.gate_proj,3,1,24320
qwen4b,model.layers.11.mlp.gate_proj,4,0,24320
qwen4b,model.layers.11.mlp.gate_proj,5,0,24320
qwen4b,model.layers.11.mlp.up_proj,0,24279,24320
qwen4b,model.layers.11.mlp.up_proj,1,34,24320
qwen4b,model.layers.11.mlp.up_proj,2,4,24320
qwen4b,model.layers.11.mlp.up_proj,3,3,24320
qwen4b,model.layers.11.mlp.up_proj,4,0,24320
qwen4b,model.layers.11.mlp.up_proj,5,0,24320
qwen4b,model.layers.11.self_attn.k_proj,0,2558,2560
qwen4b,model.layers.11.self_attn.k_proj,1,2,2560
qwen4b,model.layers.11.self_attn.k_proj,2,0,2560
qwen4b,model.layers.11.self_attn.k_proj,3,0,2560
qwen4b,model.layers.11.self_attn.k_proj,4,0,2560
qwen4b,model.layers.11.self_attn.k_proj,5,0,2560
qwen4b,model.layers.11.self_attn.o_proj,0,10176,10240
qwen4b,model.layers.11.self_attn.o_proj,1,57,10240
qwen4b,model.layers.11.self_attn.o_proj,2,3,10240
qwen4b,model.layers.11.self_attn.o_proj,3,3,10240
qwen4b,model.layers.11.self_attn.o_proj,4,1,10240
qwen4b,model.layers.11.self_attn.o_proj,5,0,10240
qwen4b,model.layers.11.self_attn.q_proj,0,10230,10240
qwen4b,model.layers.11.self_attn.q_proj,1,10,10240
qwen4b,model.layers.11.self_attn.q_proj,2,0,10240
qwen4b,model.layers.11.self_attn.q_proj,3,0,10240
qwen4b,model.layers.11.self_attn.q_proj,4,0,10240
qwen4b,model.layers.11.self_attn.q_proj,5,0,10240
qwen4b,model.layers.11.self_attn.v_proj,0,2549,2560
qwen4b,model.layers.11.self_attn.v_proj,1,6,2560
qwen4b,model.layers.11.self_attn.v_proj,2,2,2560
qwen4b,model.layers.11.self_attn.v_proj,3,2,2560
qwen4b,model.layers.11.self_attn.v_proj,4,0,2560
qwen4b,model.layers.11.self_attn.v_proj,5,1,2560
qwen4b,model.layers.12.mlp.down_proj,0,24297,24320
qwen4b,model.layers.12.mlp.down_proj,1,21,24320
qwen4b,model.layers.12.mlp.down_proj,2,0,24320
qwen4b,model.layers.12.mlp.down_proj,3,0,24320
qwen4b,model.layers.12.mlp.down_proj,4,1,24320
qwen4b,model.layers.12.mlp.down_proj,5,1,24320
qwen4b,model.layers.12.mlp.gate_proj,0,24294,24320
qwen4b,model.layers.12.mlp.gate_proj,1,20,24320
qwen4b,model.layers.12.mlp.gate_proj,2,4,24320
qwen4b,model.layers.12.mlp.gate_proj,3,0,24320
qwen4b,model.layers.12.mlp.gate_proj,4,1,24320
qwen4b,model.layers.12.mlp.gate_proj,5,1,24320
qwen4b,model.layers.12.mlp.up_proj,0,24291,24320
qwen4b,model.layers.12.mlp.up_proj,1,25,24320
qwen4b,model.layers.12.mlp.up_proj,2,3,24320
qwen4b,model.layers.12.mlp.up_proj,3,0,24320
qwen4b,model.layers.12.mlp.up_proj,4,1,24320
qwen4b,model.layers.12.mlp.up_proj,5,0,24320
qwen4b,model.layers.12.self_attn.k_proj,0,2540,2560
qwen4b,model.layers.12.self_attn.k_proj,1,12,2560
qwen4b,model.layers.12.self_attn.k_proj,2,5,2560
qwen4b,model.layers.12.self_attn.k_proj,3,2,2560
qwen4b,model.layers.12.self_attn.k_proj,4,1,2560
qwen4b,model.layers.12.self_attn.k_proj,5,0,2560
qwen4b,model.layers.12.self_attn.o_proj,0,10184,10240
qwen4b,model.layers.12.self_attn.o_proj,1,44,10240
qwen4b,model.layers.12.self_attn.o_proj,2,7,10240
qwen4b,model.layers.12.self_attn.o_proj,3,2,10240
qwen4b,model.layers.12.self_attn.o_proj,4,3,10240
qwen4b,model.layers.12.self_attn.o_proj,5,0,10240
qwen4b,model.layers.12.self_attn.q_proj,0,10217,10240
qwen4b,model.layers.12.self_attn.q_proj,1,19,10240
qwen4b,model.layers.12.self_attn.q_proj,2,3,10240
qwen4b,model.layers.12.self_attn.q_proj,3,0,10240
qwen4b,model.layers.12.self_attn.q_proj,4,1,10240
qwen4b,model.layers.12.self_attn.q_proj,5,0,10240
qwen4b,model.layers.12.self_attn.v_proj,0,2529,2560
qwen4b,model.layers.12.self_attn.v_proj,1,22,2560
qwen4b,model.layers.12.self_attn.v_proj,2,3,2560
qwen4b,model.layers.12.self_attn.v_proj,3,6,2560
qwen4b,model.layers.12.self_attn.v_proj,4,0,2560
qwen4b,model.layers.12.self_attn.v_proj,5,0,2560
qwen4b,model.layers.13.mlp.down_proj,0,24300,24320
qwen4b,model.layers.13.mlp.down_proj,1,17,24320
qwen4b,model.layers.13.mlp.down_proj,2,1,24320
qwen4b,model.layers.13.mlp.down_proj,3,0,24320
qwen4b,model.layers.13.mlp.down_proj,4,2,24320
qwen4b,model.layers.13.mlp.down_proj,5,0,24320
qwen4b,model.layers.13.mlp.gate_proj,0,24303,24320
qwen4b,model.layers.13.mlp.gate_proj,1,13,24320
qwen4b,model.layers.13.mlp.gate_proj,2,3,24320
qwen4b,model.layers.13.mlp.gate_proj,3,1,24320
qwen4b,model.layers.13.mlp.gate_proj,4,0,24320
qwen4b,model.layers.13.mlp.gate_proj,5,0,24320
qwen4b,model.layers.13.mlp.up_proj,0,24284,24320
qwen4b,model.layers.13.mlp.up_proj,1,29,24320
qwen4b,model.layers.13.mlp.up_proj,2,2,24320
qwen4b,model.layers.13.mlp.up_proj,3,3,24320
qwen4b,model.layers.13.mlp.up_proj,4,2,24320
qwen4b,model.layers.13.mlp.up_proj,5,0,24320
qwen4b,model.layers.13.self_attn.k_proj,0,2559,2560
qwen4b,model.layers.13.self_attn.k_proj,1,1,2560
qwen4b,model.layers.13.self_attn.k_proj,2,0,2560
qwen4b,model.layers.13.self_attn.k_proj,3,0,2560
