model,module,frequency,tiles,U
llama8b,model.layers.10.mlp.up_proj,0,57302,57344
llama8b,model.layers.10.mlp.up_proj,1,42,57344
llama8b,model.layers.10.mlp.up_proj,2,0,57344
llama8b,model.layers.10.mlp.up_proj,3,0,57344
llama8b,model.layers.10.mlp.up_proj,4,0,57344
llama8b,model.layers.10.mlp.up_proj,5,0,57344
llama8b,model.layers.10.self_attn.k_proj,0,4095,4096
llama8b,model.layers.10.self_attn.k_proj,1,1,4096
llama8b,model.layers.10.self_attn.k_proj,2,0,4096
llama8b,model.layers.10.self_attn.k_proj,3,0,4096
llama8b,model.layers.10.self_attn.k_proj,4,0,4096
llama8b,model.layers.10.self_attn.k_proj,5,0,4096
llama8b,model.layers.10.self_attn.o_proj,0,16344,16384
llama8b,model.layers.10.self_attn.o_proj,1,32,16384
llama8b,model.layers.10.self_attn.o_proj,2,6,16384
llama8b,model.layers.10.self_attn.o_proj,3,1,16384
llama8b,model.layers.10.self_attn.o_proj,4,1,16384
llama8b,model.layers.10.self_attn.o_proj,5,0,16384
llama8b,model.layers.10.self_attn.q_proj,0,16373,16384
llama8b,model.layers.10.self_attn.q_proj,1,11,16384
llama8b,model.layers.10.self_attn.q_proj,2,0,16384
llama8b,model.layers.10.self_attn.q_proj,3,0,16384
llama8b,model.layers.10.self_attn.q_proj,4,0,16384
llama8b,model.layers.10.self_attn.q_proj,5,0,16384
llama8b,model.layers.10.self_attn.v_proj,0,4090,4096
llama8b,model.layers.10.self_attn.v_proj,1,4,4096
llama8b,model.layers.10.self_attn.v_proj,2,2,4096
llama8b,model.layers.10.self_attn.v_proj,3,0,4096
llama8b,model.layers.10.self_attn.v_proj,4,0,4096
llama8b,model.layers.10.self_attn.v_proj,5,0,4096
llama8b,model.layers.11.mlp.down_proj,0,57294,57344
llama8b,model.layers.11.mlp.down_proj,1,46,57344
llama8b,model.layers.11.mlp.down_proj,2,3,57344
llama8b,model.layers.11.mlp.down_proj,3,0,57344
llama8b,model.layers.11.mlp.down_proj,4,0,57344
llama8b,model.layers.11.mlp.down_proj,5,1,57344
llama8b,model.layers.11.mlp.gate_proj,0,57313,57344
llama8b,model.layers.11.mlp.gate_proj,1,31,57344
llama8b,model.layers.11.mlp.gate_proj,2,0,57344
llama8b,model.layers.11.mlp.gate_proj,3,0,57344
llama8b,model.layers.11.mlp.gate_proj,4,0,57344
llama8b,model.layers.11.mlp.gate_proj,5,0,57344
llama8b,model.layers.11.mlp.up_proj,0,57260,57344
llama8b,model.layers.11.mlp.up_proj,1,76,57344
llama8b,model.layers.11.mlp.up_proj,2,4,57344
llama8b,model.layers.11.mlp.up_proj,3,2,57344
llama8b,model.layers.11.mlp.up_proj,4,1,57344
llama8b,model.layers.11.mlp.up_proj,5,1,57344
llama8b,model.layers.11.self_attn.k_proj,0,4092,4096
llama8b,model.layers.11.self_attn.k_proj,1,4,4096
llama8b,model.layers.11.self_attn.k_proj,2,0,4096
llama8b,model.layers.11.self_attn.k_proj,3,0,4096
llama8b,model.layers.11.self_attn.k_proj,4,0,4096
llama8b,model.layers.11.self_attn.k_proj,5,0,4096
llama8b,model.layers.11.self_attn.o_proj,0,16330,16384
llama8b,model.layers.11.self_attn.o_proj,1,50,16384
llama8b,model.layers.11.self_attn.o_proj,2,2,16384
llama8b,model.layers.11.self_attn.o_proj,3,2,16384
llama8b,model.layers.11.self_attn.o_proj,4,0,16384
llama8b,model.layers.11.self_attn.o_proj,5,0,16384
llama8b,model.layers.11.self_attn.q_proj,0,16360,16384
llama8b,model.layers.11.self_attn.q_proj,1,23,16384
llama8b,model.layers.11.self_attn.q_proj,2,1,16384
llama8b,model.layers.11.self_attn.q_proj,3,0,16384
llama8b,model.layers.11.self_attn.q_proj,4,0,16384
llama8b,model.layers.11.self_attn.q_proj,5,0,16384
llama8b,model.layers.11.self_attn.v_proj,0,4086,4096
llama8b,model.layers.11.self_attn.v_proj,1,10,4096
llama8b,model.layers.11.self_attn.v_proj,2,0,4096
llama8b,model.layers.11.self_attn.v_proj,3,0,4096
llama8b,model.layers.11.self_attn.v_proj,4,0,4096
llama8b,model.layers.11.self_attn.v_proj,5,0,4096
llama8b,model.layers.12.mlp.down_proj,0,57281,57344
llama8b,model.layers.12.mlp.down_proj,1,61,57344
llama8b,model.layers.12.mlp.down_proj,2,1,57344
llama8b,model.layers.12.mlp.down_proj,3,1,57344
llama8b,model.layers.12.mlp.down_proj,4,0,57344
