model,corpus,scale,baseline,before,after,fine,total_fine_gain,remaining_gap_before,retention,incremental_recovery,before_identity,evidence_status,activation,window_hashes_equal,source,source_sha256,fine_source,fine_sha256,before_reference_source,before_reference_sha256
qwen27b,wiki,PPL,7.287076473236084,7.266300201416016,7.255833625793457,7.214749813079834,0.07232666015625,0.05155038833618164,0.43196861814345994,0.20303582495444414,"same measured report, local 195-tile raw map",historical descriptive ratios; not a new causal or paired significance claim,FourOverSix tensor-wide factor,True,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074,results/kse_paper/job_336969/qwen27b/report.json,cb887806fbb364422997ba54adaaa8c005900ebf28bb001e5b99ac3a225dbd8c,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074
qwen27b,wiki,NLL,1.986102500455133,1.9832473721997492,1.9818057487750875,1.9761274806384383,0.009975019816694575,0.007119891561310876,0.43075119237900544,0.20247828386817085,"same measured report, local 195-tile raw map",historical descriptive ratios; not a new causal or paired significance claim,FourOverSix tensor-wide factor,True,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074,results/kse_paper/job_336969/qwen27b/report.json,cb887806fbb364422997ba54adaaa8c005900ebf28bb001e5b99ac3a225dbd8c,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074
qwen27b,c4,PPL,10.18836498260498,10.176030158996582,10.167336463928223,10.149866104125977,0.038498878479003906,0.02616405487060547,0.5462112016646437,0.3322762894113359,"same measured report, local 195-tile raw map",historical descriptive ratios; not a new causal or paired significance claim,FourOverSix tensor-wide factor,True,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074,results/kse_paper/job_336969/qwen27b/report.json,cb887806fbb364422997ba54adaaa8c005900ebf28bb001e5b99ac3a225dbd8c,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074
qwen27b,c4,NLL,2.321246520616114,2.3200346550438553,2.319180197780952,2.3174605548847467,0.003785965731367469,0.0025741001591086388,0.5457848754526201,0.3319440620365503,"same measured report, local 195-tile raw map",historical descriptive ratios; not a new causal or paired significance claim,FourOverSix tensor-wide factor,True,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074,results/kse_paper/job_336969/qwen27b/report.json,cb887806fbb364422997ba54adaaa8c005900ebf28bb001e5b99ac3a225dbd8c,results/task_reorder/cluster_20260919/published_evidence/measured_both_ppl/report.json,0cf4a12df73ebc0caf501e61ea596ba7a86e9a3c1d42c0cb1cca765191ad5074
llama8b,wiki,PPL,6.875524520874023,6.866879,6.864886283874512,6.8492751121521,0.026249408721923828,0.017603887847900346,0.40527530018710606,0.11319750175106416,supplied rounded 187-tile reference; raw measurement unavailable here,retention recomputed; PPL incremental recovery approximate from supplied rounded reference; NLL incremental NA,FourOverSix tensor-wide factor,True,results/task_reorder/transfer_20260920/renewed_llama/joint192_ppl/report.json,e8f50c66a6a816c46536ce19aca99639154f86481fee522c0ef55078158c4372,results/kse_paper/job_336566/llama8b/report.json,27985a09d3311688e922d808e1060ec5e7f4193888edfaa6677c68c3125e5e5f,results/task_reorder/cluster_20260919/raw256_reference.json,3ae595041fed8d466484d64fa594ec72919f4775e5c0114fadea6d5e52a060d9
llama8b,wiki,NLL,1.9279680268984314,,1.9264194669452965,1.9241429085427142,0.003825118355717194,,0.4048397485061622,,supplied rounded 187-tile reference; raw measurement unavailable here,retention recomputed; PPL incremental recovery approximate from supplied rounded reference; NLL incremental NA,FourOverSix tensor-wide factor,True,results/task_reorder/transfer_20260920/renewed_llama/joint192_ppl/report.json,e8f50c66a6a816c46536ce19aca99639154f86481fee522c0ef55078158c4372,results/kse_paper/job_336566/llama8b/report.json,27985a09d3311688e922d808e1060ec5e7f4193888edfaa6677c68c3125e5e5f,results/task_reorder/cluster_20260919/raw256_reference.json,3ae595041fed8d466484d64fa594ec72919f4775e5c0114fadea6d5e52a060d9
llama8b,c4,PPL,9.82373332977295,9.801361,9.796945571899414,9.773039817810059,0.050693511962890625,0.028321182189941396,0.5284257656708556,0.15590550108300633,supplied rounded 187-tile reference; raw measurement unavailable here,retention recomputed; PPL incremental recovery approximate from supplied rounded reference; NLL incremental NA,FourOverSix tensor-wide factor,True,results/task_reorder/transfer_20260920/renewed_llama/joint192_ppl/report.json,e8f50c66a6a816c46536ce19aca99639154f86481fee522c0ef55078158c4372,results/kse_paper/job_336566/llama8b/report.json,27985a09d3311688e922d808e1060ec5e7f4193888edfaa6677c68c3125e5e5f,results/task_reorder/cluster_20260919/raw256_reference.json,3ae595041fed8d466484d64fa594ec72919f4775e5c0114fadea6d5e52a060d9
llama8b,c4,NLL,2.2848011701134965,,2.2820705343037844,2.2796276508597657,0.005173519253730774,,0.5278101183721259,,supplied rounded 187-tile reference; raw measurement unavailable here,retention recomputed; PPL incremental recovery approximate from supplied rounded reference; NLL incremental NA,FourOverSix tensor-wide factor,True,results/task_reorder/transfer_20260920/renewed_llama/joint192_ppl/report.json,e8f50c66a6a816c46536ce19aca99639154f86481fee522c0ef55078158c4372,results/kse_paper/job_336566/llama8b/report.json,27985a09d3311688e922d808e1060ec5e7f4193888edfaa6677c68c3125e5e5f,results/task_reorder/cluster_20260919/raw256_reference.json,3ae595041fed8d466484d64fa594ec72919f4775e5c0114fadea6d5e52a060d9
