model,N,policy,draw,corpus,recipe,math_sequences,code_sequences,calibration_sequences,input_tokens,valid_shifted_target_tokens,available_replications_for_this_recipe,sampling,ppl,delta_nll,relative_ppl,selected_tiles,map_sha256,source,source_sha256,inference
qwen4b,16,n16_k3_mc64,seed0,wiki,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,12.75013791546225,-0.1081372871009636,-0.10249562780128167,1919,d6aff4c1fb74f0352f2c47ced5f74a3f07ba3819470391f3d1fcb79c2d3adbfb,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_mc64,seed0,c4,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,16.415773913232638,-0.052602761998708836,-0.05124318010092126,1919,d6aff4c1fb74f0352f2c47ced5f74a3f07ba3819470391f3d1fcb79c2d3adbfb,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_math64,seed0,wiki,math64,64,0,64,32768,32704,1,nested prefixes of seed0,12.979052057933089,-0.09034269791272331,-0.08638196337757811,2893,dc99f484c2620f6885606470dd57d383666971710e96af48930746859c1bee96,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_math64,seed0,c4,math64,64,0,64,32768,32704,1,nested prefixes of seed0,16.458129812121864,-0.050025889919203426,-0.048795202433434194,2893,dc99f484c2620f6885606470dd57d383666971710e96af48930746859c1bee96,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_math64,seed0,wiki,math64,64,0,64,32768,32704,1,nested prefixes of seed0,13.255712876399405,-0.06925075555366345,-0.06690732742964266,1491,74940aba8766d7ec348f7f35aadec014b9c351b47c044cffec379ab1030a787a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_math64,seed0,c4,math64,64,0,64,32768,32704,1,nested prefixes of seed0,16.622382244461097,-0.0400953433859943,-0.039302161399210375,1491,74940aba8766d7ec348f7f35aadec014b9c351b47c044cffec379ab1030a787a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_code64,seed0,wiki,code64,0,64,64,32768,32704,1,nested prefixes of seed0,11.957126637989358,-0.1723519035472556,-0.15831707016165694,6432,0d6c5e3c3d73d3e7f3ffde85259cf0eb31f956b3a0ba8a4e363bd493ea9d2881,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_code64,seed0,c4,code64,0,64,64,32768,32704,1,nested prefixes of seed0,15.90735506912946,-0.08406387331837495,-0.08062746915471151,6432,0d6c5e3c3d73d3e7f3ffde85259cf0eb31f956b3a0ba8a4e363bd493ea9d2881,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_code64,seed0,wiki,code64,0,64,64,32768,32704,1,nested prefixes of seed0,12.284873403827193,-0.14531067456462177,-0.1352464055724746,3400,4b31a0b899dc12dafb3d2d57b0fbd2fa9ca06f9d1fa0422def7466951d0880a4,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_code64,seed0,c4,code64,0,64,64,32768,32704,1,nested prefixes of seed0,16.13386883266167,-0.06992474193940312,-0.06753600730295217,3400,4b31a0b899dc12dafb3d2d57b0fbd2fa9ca06f9d1fa0422def7466951d0880a4,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_heldout,heldout,wiki,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,11.56066924340054,-0.20607062094967343,-0.1862243953524274,14704,c0992c0fdb98f82061e6a4761571d4ec7a4cec56dc3aea35061998bcb3d46a2a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,8,n8_k3_heldout,heldout,c4,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,15.930463659283072,-0.08261222900764231,-0.0792918980983375,14704,c0992c0fdb98f82061e6a4761571d4ec7a4cec56dc3aea35061998bcb3d46a2a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_heldout,heldout,wiki,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,11.901156074526234,-0.1770438310272313,-0.1622569354208131,7683,036502af8a62b083319a94b0b2a1f3a50bca411d4b527601d7d923eb3777e99a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
qwen4b,16,n16_k3_heldout,heldout,c4,heldout_mc128,64,64,128,65536,65408,1,separate heldout draw,16.102901001685105,-0.07184601635130283,-0.06932580661377323,7683,036502af8a62b083319a94b0b2a1f3a50bca411d4b527601d7d923eb3777e99a,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_qwen4b_attempt1/ppl/ppl_report.json,4873127b7e29314b40b858e7d7c1d76e516aabb37b6ff25ff4ee0a3566a4bbb8,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3,seed0,wiki,mc128,64,64,128,65536,65408,1,full seed0,5.498714376057633,-0.004462832637816216,-0.004452888998006045,7501,6c41cd97cf291557f1b3a6d00768274a7111528bb8eb0f43bce9980669947d78,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V62_ppl_primary_mistral7b_attempt1/ppl/ppl_report.json,958115222fa3c6306b1a5548aab050cfcfb3ddf246d5db998b1c79750f402290,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3,seed0,c4,mc128,64,64,128,65536,65408,1,full seed0,8.04556711762579,-0.002711215416005164,-0.0027075433907892696,7501,6c41cd97cf291557f1b3a6d00768274a7111528bb8eb0f43bce9980669947d78,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V62_ppl_primary_mistral7b_attempt1/ppl/ppl_report.json,958115222fa3c6306b1a5548aab050cfcfb3ddf246d5db998b1c79750f402290,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3,seed0,wiki,mc128,64,64,128,65536,65408,1,full seed0,5.50187078542319,-0.0038889705376015105,-0.0038814182850149264,4179,0c3d822a18d0480ca2aeff0abd78cf6e4ca3155bb207156a400fde124e1cf13d,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V62_ppl_primary_mistral7b_attempt1/ppl/ppl_report.json,958115222fa3c6306b1a5548aab050cfcfb3ddf246d5db998b1c79750f402290,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3,seed0,c4,mc128,64,64,128,65536,65408,1,full seed0,8.04750641229958,-0.0024702055579974846,-0.0024671571108617427,4179,0c3d822a18d0480ca2aeff0abd78cf6e4ca3155bb207156a400fde124e1cf13d,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V62_ppl_primary_mistral7b_attempt1/ppl/ppl_report.json,958115222fa3c6306b1a5548aab050cfcfb3ddf246d5db998b1c79750f402290,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_mc32,seed0,wiki,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,5.506918363997572,-0.002971961616895724,-0.002967549710723748,2043,c0008f3caa3b6e12dd87795da16e209d5050e32c1c8a3a554b3925f92aed6261,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_mc32,seed0,c4,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,8.058029246154312,-0.0011634703366114607,-0.0011627937674142089,2043,c0008f3caa3b6e12dd87795da16e209d5050e32c1c8a3a554b3925f92aed6261,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_mc32,seed0,wiki,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,5.507917853690445,-0.002790480989156352,-0.0027865912160347796,1190,c4b4b1b32b760e72a9767e5fb0db39094028872276906c081835cd2f0f06c6cf,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_mc32,seed0,c4,mc32,16,16,32,16384,16352,1,nested prefixes of seed0,8.060577636875028,-0.0008472654982600858,-0.0008469066701958491,1190,c4b4b1b32b760e72a9767e5fb0db39094028872276906c081835cd2f0f06c6cf,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_mc64,seed0,wiki,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,5.500345742898404,-0.004166195136958706,-0.004157528585691042,3793,b34a268c59f67901eea754bf2bd8a81a7b7ba426ac1cdfc2652f11cba5c2086d,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_mc64,seed0,c4,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,8.046848375906327,-0.002551977881557921,-0.002548724354235675,3793,b34a268c59f67901eea754bf2bd8a81a7b7ba426ac1cdfc2652f11cba5c2086d,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_mc64,seed0,wiki,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,5.505878370583801,-0.0031608316091289446,-0.003155841439977705,2193,098d86065a256c6808ff07a3546ef30ad681a448979ae949249d81e0e3eee9b0,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,16,n16_k3_mc64,seed0,c4,mc64,32,32,64,32768,32704,1,nested prefixes of seed0,8.051447460588992,-0.0019806025192838916,-0.001978642420386689,2193,098d86065a256c6808ff07a3546ef30ad681a448979ae949249d81e0e3eee9b0,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_math64,seed0,wiki,math64,64,0,64,32768,32704,1,nested prefixes of seed0,5.501865342950804,-0.003889959742053861,-0.0038824036494636647,6066,69a3b359060068b8d30ea56d2ef48dd40cec465481f07a3044d90fe8e896aad5,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
mistral7b,8,n8_k3_math64,seed0,c4,math64,64,0,64,32768,32704,1,nested prefixes of seed0,8.051116911749153,-0.0020216579477536634,-0.0020196157737490594,6066,69a3b359060068b8d30ea56d2ef48dd40cec465481f07a3044d90fe8e896aad5,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V51_ppl_sizedomain_mistral7b_attempt1/ppl/ppl_report.json,a795bf4a33391585103731b6b01573b47f06ec00373e8eba1e46603fb5bec217,descriptive existing cells; no across-composition population variance or five-draw factorial inferred
