model,draw,policy,task,metric,value,status,source,source_sha256,map_hash,num_fewshot,lm_eval_version,paired_ci,reason
llama8b,seed0,joint,winogrande,acc,0.7237569060773481,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_n16_k3_attempt1/lmeval/lmeval_report.json,e2e9f49a8810e2caedb7ff287f2eee998fa0014402261339e6c2a8a50cbad97a,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,0,0.4.11,not recomputed; no CI fabricated from aggregates,
llama8b,seed0,joint,piqa,acc_norm,0.7965179542981502,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_n16_k3_attempt1/lmeval/lmeval_report.json,e2e9f49a8810e2caedb7ff287f2eee998fa0014402261339e6c2a8a50cbad97a,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,0,0.4.11,not recomputed; no CI fabricated from aggregates,
llama8b,seed0,joint,mmlu,acc,0.6110952855718559,sealed_report_reuse,research_runs/mixfp4_n16k64_full_validation_20260911T065444Z/runs/V32_acc_full8_llama8b_n16_k3_attempt1/lmeval/lmeval_report.json,e2e9f49a8810e2caedb7ff287f2eee998fa0014402261339e6c2a8a50cbad97a,0920f55ddc053a5f5a8b0d046d0b74a62d4abafcad5e36051d7682da961e1f2b,0,0.4.11,not recomputed; no CI fabricated from aggregates,
llama8b,seed0,ce_matched,arc_easy,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,arc_challenge,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,hellaswag,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,openbookqa,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,boolq,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,winogrande,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,piqa,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,ce_matched,mmlu,,,coverage_gap,,,f1f534b8100d1263b41e0c8696db0d060a05cfe430b7572fd48400f288b5b4f4,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,arc_easy,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,arc_challenge,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,hellaswag,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,openbookqa,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,boolq,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,winogrande,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
llama8b,seed0,kl_matched,piqa,,,coverage_gap,,,f0287d19a5600c21295d1936215a9be8205bda7e3b070840528af44141102e01,,,,No matching full8 map result; secondary evaluation not yet scheduled. PPL anchor success is not accuracy validation.
