config,pseudo_ppl,delta_vs_fp,scored_blocks,tokens,n_lin,n_exp
fp,92.85145648452192,0.0,448,172032,0,0
nvfp4_4over6,130.7831974714913,37.93174098696937,448,172032,205,60
mixfp4-8x64,216.44234344110427,123.59088695658235,448,172032,205,60
mix_4_6-8x64,157.09723487633724,64.24577839181532,448,172032,205,60
